"County_Name","person_worker_total","HH_worker_total"
"Alameda",874541,810525
"Contra Costa",569259,542884
"Marin",129962,122274
"Napa",69541,63193
"San Francisco",511043,478231
"San Mateo",411056,384815
"Santa Clara",1008847,955248
"Solano",214432,205019
"Sonoma",251302,238616
