"County_Name","household_worker_total","gq_worker_total","worker_total"
"Alameda",864042,7256,871298
"Contra Costa",570772,1605,572377
"Marin",127924,1213,129137
"Napa",66443,1078,67521
"San Francisco",492295,4778,497073
"San Mateo",401590,2392,403982
"Santa Clara",993715,10697,1004412
"Solano",213478,954,214432
"Sonoma",247542,1947,249489
