"County_Name","household_worker_total","gq_worker_total","worker_total"
"Alameda",867722,6819,874541
"Contra Costa",567574,1685,569259
"Marin",128813,1149,129962
"Napa",68663,878,69541
"San Francisco",506944,4099,511043
"San Mateo",409126,1930,411056
"Santa Clara",999034,9813,1008847
"Solano",213836,596,214432
"Sonoma",249658,1644,251302
