"County_Name","worker_total_rc","total_hhs"
"Alameda","0_workers",112573
"Alameda","1_worker",211225
"Alameda","2_workers",199046
"Alameda","3p_workers",58836
"Contra Costa","0_workers",89638
"Contra Costa","1_worker",143838
"Contra Costa","2_workers",130046
"Contra Costa","3p_workers",41588
"Marin","0_workers",27962
"Marin","1_worker",37817
"Marin","2_workers",31454
"Marin","3p_workers",6518
"Napa","0_workers",12494
"Napa","1_worker",16325
"Napa","2_workers",14920
"Napa","3p_workers",5006
"San Francisco","0_workers",79370
"San Francisco","1_worker",135511
"San Francisco","2_workers",113057
"San Francisco","3p_workers",33283
"San Mateo","0_workers",50130
"San Mateo","1_worker",89251
"San Mateo","2_workers",95430
"San Mateo","3p_workers",30084
"Santa Clara","0_workers",109340
"Santa Clara","1_worker",234445
"Santa Clara","2_workers",225648
"Santa Clara","3p_workers",77412
"Solano","0_workers",34687
"Solano","1_worker",56006
"Solano","2_workers",46001
"Solano","3p_workers",16940
"Sonoma","0_workers",50721
"Sonoma","1_worker",63227
"Sonoma","2_workers",56590
"Sonoma","3p_workers",18303
