"COUNTY","pers_occ_management","pers_occ_professional","pers_occ_services","pers_occ_retail","pers_occ_manual","pers_occ_military"
1,79525,188291,97572,62736,51992,378
2,60402,135496,79704,49472,68812,497
3,135147,402104,175533,114632,157739,1138
4,115504,305370,181556,103334,152655,1625
5,80714,165139,129003,81500,115833,622
6,19377,45218,56697,31151,57934,4097
7,9023,14770,14090,11585,17572,47
8,31994,58690,57290,39218,58692,841
9,23396,39649,27471,19211,16820,195
