"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,86763,152914,163835,87989,4255,92652,31592,14592,15409,25170,429145,4433,10058,84105,38299,26940,19052,215728,85264,115,37357,71629,4065,8946,6013,10921
2,105802,216860,221746,134669,20776,94379,21355,16202,22742,45503,99472,8836,20525,108973,47668,35744,6798,14234,67076,57,2053,9254,6931,6281,1076,4886
3,129043,341896,348871,195671,64543,73244,28152,23245,27304,50342,159174,15858,43194,149658,88629,51532,10643,31913,63763,14,25756,27085,8650,11572,20879,6975
4,50240,134403,135500,75590,36239,18633,10489,10050,11313,18388,25316,5627,17312,50811,34563,27187,2615,3281,17351,48,615,1406,7098,24504,5982,1097
5,102138,302690,304258,164125,73164,33281,20722,23082,26205,32129,141163,14860,47540,107665,81178,53015,12931,31428,41435,382,41998,12989,11622,1741,5446,1568
6,85675,222758,224777,117271,54298,36361,14000,14432,19265,37978,99871,12261,38266,77675,58202,38373,8669,38096,30723,274,7252,14857,11026,3359,7684,2019
7,81632,229709,232093,119676,58715,26787,13028,14334,17030,37240,161105,12723,43934,80389,60591,34456,8296,41064,38842,710,13850,58343,9655,1312,3892,2384
8,73695,184191,197228,96684,46821,32255,12104,10367,13174,38050,166902,8330,33981,74875,47674,32368,7760,45933,75348,194,11374,26293,11199,15778,16461,13037
9,114825,296220,297366,170780,55231,65025,15570,18874,28238,52143,388071,19308,42465,142497,61948,31148,11677,140203,43614,55,105991,86531,9733,2587,7908,1146
10,122101,336550,337439,165716,88686,40055,18642,20430,25910,57119,146852,15861,67426,105739,96035,52378,15742,23747,54267,105,43862,9129,17405,9969,23996,889
11,111927,311599,323150,171378,66421,50549,28085,26536,25047,32259,162498,16897,57505,130993,78796,38959,12022,38913,62490,202,12050,36821,14119,32746,16181,11551
12,116570,410973,413282,209260,96686,22939,21528,22691,30601,41750,100483,21245,76801,146308,109765,59163,11493,13879,40535,124,22416,12036,22021,1882,7166,2309
13,76998,230277,231358,118042,60812,17627,12477,15110,19079,30332,53627,12469,45029,76244,64153,33463,8481,8466,23775,82,9703,3120,12742,0,0,1081
14,39943,126873,127992,60140,34141,6249,6990,9133,10115,13705,41428,7349,27680,39591,34625,18747,5924,6761,13247,1846,8919,4731,6774,1106,2599,1119
15,85253,239385,241200,124066,66681,19971,10808,14784,21341,38320,138415,13374,49853,79833,66061,32079,15044,44478,34908,234,19372,24379,12209,1106,4893,1815
16,110449,343256,346205,179440,85657,28820,15591,19679,29802,45377,167412,20136,63994,125800,88274,48001,13129,34201,42043,61,65063,12915,16425,4435,7507,2949
