"TAZ1454","hispanic","white_nonh","black_nonh","asian_nonh","other_nonh","TOTPOP","COUNTY","County_Name"
1,3,36,0,56,0,95,1,"San Francisco"
2,10,114,0,174,0,298,1,"San Francisco"
3,12,184,5,254,108,563,1,"San Francisco"
4,53,119,18,77,33,300,1,"San Francisco"
5,192,308,40,185,75,800,1,"San Francisco"
6,443,1650,163,1062,195,3513,1,"San Francisco"
7,867,485,372,1282,1509,4515,1,"San Francisco"
8,3052,1679,939,2002,1937,9609,1,"San Francisco"
9,2333,2979,1165,801,3173,10451,1,"San Francisco"
10,1225,2059,351,1331,2186,7152,1,"San Francisco"
11,372,1165,1006,1194,271,4008,1,"San Francisco"
12,36,457,0,463,36,992,1,"San Francisco"
13,0,38,0,32,10,80,1,"San Francisco"
14,7,160,0,252,202,621,1,"San Francisco"
15,99,117,0,337,0,553,1,"San Francisco"
16,981,3206,154,1870,2695,8906,1,"San Francisco"
17,597,3042,78,2716,340,6773,1,"San Francisco"
18,723,544,149,436,163,2015,1,"San Francisco"
19,242,642,159,573,143,1759,1,"San Francisco"
20,685,1610,101,1813,239,4448,1,"San Francisco"
21,467,1037,87,743,2805,5139,1,"San Francisco"
22,28,532,16,583,705,1864,1,"San Francisco"
23,21,508,0,687,28,1244,1,"San Francisco"
24,15,45,0,177,880,1117,1,"San Francisco"
25,79,0,82,1178,1798,3137,1,"San Francisco"
26,39,134,35,1377,110,1695,1,"San Francisco"
27,108,367,111,2216,60,2862,1,"San Francisco"
28,120,1598,75,853,219,2865,1,"San Francisco"
29,713,592,113,1572,2047,5037,1,"San Francisco"
30,1441,1256,495,2003,2266,7461,1,"San Francisco"
31,934,1373,183,1065,459,4014,1,"San Francisco"
32,525,1963,214,1807,211,4720,1,"San Francisco"
33,133,2407,27,1831,127,4525,1,"San Francisco"
34,538,2894,56,825,196,4509,1,"San Francisco"
35,239,2167,384,1441,382,4613,1,"San Francisco"
36,271,504,4,811,3486,5076,1,"San Francisco"
37,238,951,95,1541,247,3072,1,"San Francisco"
38,628,2733,17,750,317,4445,1,"San Francisco"
39,464,2330,3,1058,92,3947,1,"San Francisco"
40,329,2938,243,504,318,4332,1,"San Francisco"
41,549,1166,485,1665,142,4007,1,"San Francisco"
42,973,938,500,325,400,3136,1,"San Francisco"
43,345,3535,0,586,466,4932,1,"San Francisco"
44,430,4416,35,801,456,6138,1,"San Francisco"
45,263,3148,0,439,351,4201,1,"San Francisco"
46,617,4498,132,1423,330,7000,1,"San Francisco"
47,314,1714,10,305,128,2471,1,"San Francisco"
48,318,2485,119,220,335,3477,1,"San Francisco"
49,259,2537,1,861,273,3931,1,"San Francisco"
50,772,255,3,316,3272,4618,1,"San Francisco"
51,370,242,62,258,3089,4021,1,"San Francisco"
52,970,2210,54,276,442,3952,1,"San Francisco"
53,8,24,0,0,6,38,1,"San Francisco"
54,592,3465,121,2349,599,7126,1,"San Francisco"
55,464,1363,0,1165,302,3294,1,"San Francisco"
56,25,56,44,72,45,242,1,"San Francisco"
57,137,1350,30,594,237,2348,1,"San Francisco"
58,337,1708,303,2544,337,5229,1,"San Francisco"
59,518,3305,96,3897,461,8277,1,"San Francisco"
60,145,1527,14,1767,201,3654,1,"San Francisco"
61,377,1573,0,2433,465,4848,1,"San Francisco"
62,607,3038,45,2676,602,6968,1,"San Francisco"
63,185,1832,40,2431,633,5121,1,"San Francisco"
64,342,3019,190,2565,346,6462,1,"San Francisco"
65,595,2383,77,1975,434,5464,1,"San Francisco"
66,605,1731,0,1577,315,4228,1,"San Francisco"
67,381,2595,33,1470,359,4838,1,"San Francisco"
68,418,1097,107,1103,263,2988,1,"San Francisco"
69,1164,4010,259,1782,1055,8270,1,"San Francisco"
70,732,3386,1,1713,354,6186,1,"San Francisco"
71,352,2850,46,742,294,4284,1,"San Francisco"
72,303,1367,239,259,125,2293,1,"San Francisco"
73,241,2089,518,815,161,3824,1,"San Francisco"
74,676,1371,145,1213,303,3708,1,"San Francisco"
75,183,1455,104,929,128,2799,1,"San Francisco"
76,228,910,141,786,395,2460,1,"San Francisco"
77,944,1550,796,1488,467,5245,1,"San Francisco"
78,467,1318,1485,1318,385,4973,1,"San Francisco"
79,349,1719,168,804,210,3250,1,"San Francisco"
80,339,2155,567,467,414,3942,1,"San Francisco"
81,830,4077,534,1656,608,7705,1,"San Francisco"
82,324,2026,51,399,261,3061,1,"San Francisco"
83,305,2875,81,489,388,4138,1,"San Francisco"
84,299,3811,285,532,350,5277,1,"San Francisco"
85,634,2527,200,605,196,4162,1,"San Francisco"
86,615,3014,1127,1345,562,6663,1,"San Francisco"
87,720,3483,381,418,315,5317,1,"San Francisco"
88,253,3857,321,397,472,5300,1,"San Francisco"
89,764,5614,153,847,642,8020,1,"San Francisco"
90,520,2352,87,1508,325,4792,1,"San Francisco"
91,472,2448,162,1207,437,4726,1,"San Francisco"
92,602,1659,295,1087,144,3787,1,"San Francisco"
93,932,4710,172,1168,537,7519,1,"San Francisco"
94,235,2204,108,291,132,2970,1,"San Francisco"
95,300,1852,29,347,456,2984,1,"San Francisco"
96,277,1640,87,276,281,2561,1,"San Francisco"
97,261,2499,0,539,201,3500,1,"San Francisco"
98,259,2781,0,577,342,3959,1,"San Francisco"
99,524,2390,31,602,273,3820,1,"San Francisco"
100,1655,1382,131,643,287,4098,1,"San Francisco"
101,2654,2154,259,875,324,6266,1,"San Francisco"
102,1012,2870,161,929,415,5387,1,"San Francisco"
103,574,3733,237,838,226,5608,1,"San Francisco"
104,499,2220,79,398,278,3474,1,"San Francisco"
105,1271,2946,335,853,628,6033,1,"San Francisco"
106,2121,2452,694,1521,446,7234,1,"San Francisco"
107,745,748,29,440,118,2080,1,"San Francisco"
108,176,799,17,517,184,1693,1,"San Francisco"
109,701,3170,28,3305,364,7568,1,"San Francisco"
110,612,1402,993,3341,471,6819,1,"San Francisco"
111,400,1838,124,1139,348,3849,1,"San Francisco"
112,317,1163,27,417,228,2152,1,"San Francisco"
113,653,2744,245,1128,502,5272,1,"San Francisco"
114,279,2003,105,837,540,3764,1,"San Francisco"
