airport,direction,tod,share_tod
OAK,from,EA,0.0207
OAK,from,AM,0.1566
OAK,from,MD,0.3298
OAK,from,PM,0.2839
OAK,from,EV,0.2090
SFO,from,EA,0.0030
SFO,from,AM,0.0762
SFO,from,MD,0.3665
SFO,from,PM,0.3593
SFO,from,EV,0.1950
SJC,from,EA,0.0000
SJC,from,AM,0.1124
SJC,from,MD,0.4567
SJC,from,PM,0.2325
SJC,from,EV,0.1984
OAK,to,EA,0.0226
OAK,to,AM,0.1996
OAK,to,MD,0.3045
OAK,to,PM,0.4403
OAK,to,EV,0.0329
SFO,to,EA,0.0338
SFO,to,AM,0.2511
SFO,to,MD,0.3322
SFO,to,PM,0.2693
SFO,to,EV,0.1137
SJC,to,EA,0.0000
SJC,to,AM,0.2489
SJC,to,MD,0.2489
SJC,to,PM,0.3235
SJC,to,EV,0.1787
