airport,direction,year,access_mode,submode,share_submode
OAK,from,2023,ES,DA,0.2812
OAK,from,2023,ES,S2,0.4856
OAK,from,2023,ES,S3,0.2332
OAK,from,2023,PK,DA,0.6192
OAK,from,2023,PK,S2,0.2780
OAK,from,2023,PK,S3,0.1028
OAK,from,2023,RN,DA,0.4595
OAK,from,2023,RN,S2,0.4018
OAK,from,2023,RN,S3,0.1387
OAK,from,2023,TX,DA,0.0389
OAK,from,2023,TX,S2,0.6488
OAK,from,2023,TX,S3,0.3123
OAK,from,2023,LI,DA,0.2957
OAK,from,2023,LI,S2,0.3771
OAK,from,2023,LI,S3,0.3272
OAK,from,2023,VN,S3,1.0000
OAK,from,2023,HT,S3,1.0000
OAK,from,2023,CH,S3,1.0000
SFO,from,2023,ES,DA,0.2574
SFO,from,2023,ES,S2,0.4044
SFO,from,2023,ES,S3,0.3381
SFO,from,2023,PK,DA,0.4964
SFO,from,2023,PK,S2,0.3753
SFO,from,2023,PK,S3,0.1283
SFO,from,2023,RN,DA,0.3627
SFO,from,2023,RN,S2,0.4265
SFO,from,2023,RN,S3,0.2108
SFO,from,2023,TX,DA,0.0388
SFO,from,2023,TX,S2,0.5372
SFO,from,2023,TX,S3,0.4241
SFO,from,2023,LI,DA,0.2834
SFO,from,2023,LI,S2,0.3241
SFO,from,2023,LI,S3,0.3925
SFO,from,2023,VN,S3,1.0000
SFO,from,2023,HT,S3,1.0000
SFO,from,2023,CH,S3,1.0000
SJC,from,2023,ES,DA,0.2813
SJC,from,2023,ES,S2,0.4857
SJC,from,2023,ES,S3,0.2330
SJC,from,2023,PK,DA,0.6214
SJC,from,2023,PK,S2,0.2772
SJC,from,2023,PK,S3,0.1014
SJC,from,2023,RN,DA,0.4591
SJC,from,2023,RN,S2,0.4013
SJC,from,2023,RN,S3,0.1396
SJC,from,2023,TX,DA,0.0411
SJC,from,2023,TX,S2,0.6472
SJC,from,2023,TX,S3,0.3117
SJC,from,2023,LI,DA,0.2980
SJC,from,2023,LI,S2,0.3769
SJC,from,2023,LI,S3,0.3251
SJC,from,2023,VN,S3,1.0000
SJC,from,2023,HT,S3,1.0000
SJC,from,2023,CH,S3,1.0000
OAK,to,2023,ES,DA,0.2711
OAK,to,2023,ES,S2,0.4717
OAK,to,2023,ES,S3,0.2572
OAK,to,2023,PK,DA,0.5209
OAK,to,2023,PK,S2,0.3286
OAK,to,2023,PK,S3,0.1505
OAK,to,2023,RN,DA,0.4995
OAK,to,2023,RN,S2,0.3319
OAK,to,2023,RN,S3,0.1687
OAK,to,2023,TX,DA,0.0386
OAK,to,2023,TX,S2,0.5784
OAK,to,2023,TX,S3,0.3830
OAK,to,2023,LI,DA,0.2989
OAK,to,2023,LI,S2,0.3991
OAK,to,2023,LI,S3,0.3020
OAK,to,2023,VN,S3,1.0000
OAK,to,2023,HT,S3,1.0000
OAK,to,2023,CH,S3,1.0000
SFO,to,2023,ES,DA,0.2592
SFO,to,2023,ES,S2,0.3993
SFO,to,2023,ES,S3,0.3415
SFO,to,2023,PK,DA,0.4377
SFO,to,2023,PK,S2,0.3743
SFO,to,2023,PK,S3,0.1879
SFO,to,2023,RN,DA,0.4295
SFO,to,2023,RN,S2,0.3902
SFO,to,2023,RN,S3,0.1803
SFO,to,2023,TX,DA,0.0399
SFO,to,2023,TX,S2,0.5603
SFO,to,2023,TX,S3,0.3998
SFO,to,2023,LI,DA,0.2937
SFO,to,2023,LI,S2,0.3731
SFO,to,2023,LI,S3,0.3333
SFO,to,2023,VN,S3,1.0000
SFO,to,2023,HT,S3,1.0000
SFO,to,2023,CH,S3,1.0000
SJC,to,2023,ES,DA,0.2712
SJC,to,2023,ES,S2,0.4718
SJC,to,2023,ES,S3,0.2570
SJC,to,2023,PK,DA,0.5238
SJC,to,2023,PK,S2,0.3281
SJC,to,2023,PK,S3,0.1481
SJC,to,2023,RN,DA,0.4989
SJC,to,2023,RN,S2,0.3319
SJC,to,2023,RN,S3,0.1692
SJC,to,2023,TX,DA,0.0399
SJC,to,2023,TX,S2,0.5766
SJC,to,2023,TX,S3,0.3835
SJC,to,2023,LI,DA,0.3014
SJC,to,2023,LI,S2,0.4010
SJC,to,2023,LI,S3,0.2976
SJC,to,2023,VN,S3,1.0000
SJC,to,2023,HT,S3,1.0000
SJC,to,2023,CH,S3,1.0000
OAK,from,2050,ES,DA,0.2812
OAK,from,2050,ES,S2,0.4855
OAK,from,2050,ES,S3,0.2333
OAK,from,2050,PK,DA,0.6179
OAK,from,2050,PK,S2,0.2784
OAK,from,2050,PK,S3,0.1037
OAK,from,2050,RN,DA,0.4583
OAK,from,2050,RN,S2,0.4015
OAK,from,2050,RN,S3,0.1402
OAK,from,2050,TX,DA,0.0404
OAK,from,2050,TX,S2,0.6460
OAK,from,2050,TX,S3,0.3136
OAK,from,2050,LI,DA,0.2944
OAK,from,2050,LI,S2,0.3782
OAK,from,2050,LI,S3,0.3274
OAK,from,2050,VN,S3,1.0000
OAK,from,2050,HT,S3,1.0000
OAK,from,2050,CH,S3,1.0000
SFO,from,2050,ES,DA,0.2574
SFO,from,2050,ES,S2,0.4044
SFO,from,2050,ES,S3,0.3382
SFO,from,2050,PK,DA,0.4956
SFO,from,2050,PK,S2,0.3755
SFO,from,2050,PK,S3,0.1289
SFO,from,2050,RN,DA,0.3624
SFO,from,2050,RN,S2,0.4263
SFO,from,2050,RN,S3,0.2112
SFO,from,2050,TX,DA,0.0390
SFO,from,2050,TX,S2,0.5369
SFO,from,2050,TX,S3,0.4241
SFO,from,2050,LI,DA,0.2832
SFO,from,2050,LI,S2,0.3240
