airport,direction,access_mode,share_access_mode
OAK,from,ES,0.3300
OAK,from,PK,0.0900
OAK,from,RN,0.1300
OAK,from,TX,0.3300
OAK,from,LI,0.0100
OAK,from,VN,0.0100
OAK,from,HT,0.0200
OAK,from,CH,0.0300
SFO,from,ES,0.3300
SFO,from,PK,0.0900
SFO,from,RN,0.1300
SFO,from,TX,0.3300
SFO,from,LI,0.0100
SFO,from,VN,0.0100
SFO,from,HT,0.0200
SFO,from,CH,0.0300
SJC,from,ES,0.2433
SJC,from,PK,0.1200
SJC,from,RN,0.1167
SJC,from,TX,0.3900
SJC,from,LI,0.0100
SJC,from,VN,0.0633
SJC,from,HT,0.0100
SJC,from,CH,0.0433
OAK,to,ES,0.3300
OAK,to,PK,0.0900
OAK,to,RN,0.1300
OAK,to,TX,0.3300
OAK,to,LI,0.0100
OAK,to,VN,0.0100
OAK,to,HT,0.0200
OAK,to,CH,0.0300
SFO,to,ES,0.3300
SFO,to,PK,0.0900
SFO,to,RN,0.1300
SFO,to,TX,0.3300
SFO,to,LI,0.0100
SFO,to,VN,0.0100
SFO,to,HT,0.0200
SFO,to,CH,0.0300
SJC,to,ES,0.2433
SJC,to,PK,0.1200
SJC,to,RN,0.1167
SJC,to,TX,0.3900
SJC,to,LI,0.0100
SJC,to,VN,0.0633
SJC,to,HT,0.0100
SJC,to,CH,0.0433
