file_name,airport,direction,year,district,share
2023_fromOAK,OAK,from,2023,1,0.0806
2023_fromOAK,OAK,from,2023,2,0.0378
2023_fromOAK,OAK,from,2023,3,0.0242
2023_fromOAK,OAK,from,2023,4,0.0128
2023_fromOAK,OAK,from,2023,5,0.0106
2023_fromOAK,OAK,from,2023,6,0.0106
2023_fromOAK,OAK,from,2023,7,0.0036
2023_fromOAK,OAK,from,2023,8,0.0090
2023_fromOAK,OAK,from,2023,9,0.0071
2023_fromOAK,OAK,from,2023,10,0.0032
2023_fromOAK,OAK,from,2023,11,0.0054
2023_fromOAK,OAK,from,2023,12,0.0015
2023_fromOAK,OAK,from,2023,13,0.0015
2023_fromOAK,OAK,from,2023,14,0.0026
2023_fromOAK,OAK,from,2023,15,0.0663
2023_fromOAK,OAK,from,2023,16,0.0346
2023_fromOAK,OAK,from,2023,17,0.0576
2023_fromOAK,OAK,from,2023,18,0.1853
2023_fromOAK,OAK,from,2023,19,0.0917
2023_fromOAK,OAK,from,2023,20,0.0330
2023_fromOAK,OAK,from,2023,21,0.0453
2023_fromOAK,OAK,from,2023,22,0.0535
2023_fromOAK,OAK,from,2023,23,0.0421
2023_fromOAK,OAK,from,2023,24,0.0306
2023_fromOAK,OAK,from,2023,25,0.0141
2023_fromOAK,OAK,from,2023,26,0.0064
2023_fromOAK,OAK,from,2023,27,0.0122
2023_fromOAK,OAK,from,2023,28,0.0065
2023_fromOAK,OAK,from,2023,29,0.0239
2023_fromOAK,OAK,from,2023,30,0.0332
2023_fromOAK,OAK,from,2023,31,0.0083
2023_fromOAK,OAK,from,2023,32,0.0088
2023_fromOAK,OAK,from,2023,33,0.0220
2023_fromOAK,OAK,from,2023,34,0.0141
2023_fromSFO,SFO,from,2023,1,0.2354
2023_fromSFO,SFO,from,2023,2,0.0741
2023_fromSFO,SFO,from,2023,3,0.0596
2023_fromSFO,SFO,from,2023,4,0.0238
2023_fromSFO,SFO,from,2023,5,0.0684
2023_fromSFO,SFO,from,2023,6,0.0620
2023_fromSFO,SFO,from,2023,7,0.0329
2023_fromSFO,SFO,from,2023,8,0.0408
2023_fromSFO,SFO,from,2023,9,0.0408
2023_fromSFO,SFO,from,2023,10,0.0220
2023_fromSFO,SFO,from,2023,11,0.0169
2023_fromSFO,SFO,from,2023,12,0.0128
2023_fromSFO,SFO,from,2023,13,0.0144
2023_fromSFO,SFO,from,2023,14,0.0055
2023_fromSFO,SFO,from,2023,15,0.0183
2023_fromSFO,SFO,from,2023,16,0.0191
2023_fromSFO,SFO,from,2023,17,0.0158
2023_fromSFO,SFO,from,2023,18,0.0275
2023_fromSFO,SFO,from,2023,19,0.0264
2023_fromSFO,SFO,from,2023,20,0.0120
2023_fromSFO,SFO,from,2023,21,0.0154
2023_fromSFO,SFO,from,2023,22,0.0199
2023_fromSFO,SFO,from,2023,23,0.0076
2023_fromSFO,SFO,from,2023,24,0.0083
2023_fromSFO,SFO,from,2023,25,0.0113
2023_fromSFO,SFO,from,2023,26,0.0078
2023_fromSFO,SFO,from,2023,27,0.0107
2023_fromSFO,SFO,from,2023,28,0.0085
2023_fromSFO,SFO,from,2023,29,0.0169
2023_fromSFO,SFO,from,2023,30,0.0168
2023_fromSFO,SFO,from,2023,31,0.0066
2023_fromSFO,SFO,from,2023,32,0.0062
2023_fromSFO,SFO,from,2023,33,0.0161
2023_fromSFO,SFO,from,2023,34,0.0191
2023_fromSJC,SJC,from,2023,1,0.0131
2023_fromSJC,SJC,from,2023,2,0.0043
2023_fromSJC,SJC,from,2023,3,0.0107
2023_fromSJC,SJC,from,2023,4,0.0046
2023_fromSJC,SJC,from,2023,5,0.0106
2023_fromSJC,SJC,from,2023,6,0.0287
2023_fromSJC,SJC,from,2023,7,0.0560
2023_fromSJC,SJC,from,2023,8,0.1177
2023_fromSJC,SJC,from,2023,9,0.1646
2023_fromSJC,SJC,from,2023,10,0.0910
2023_fromSJC,SJC,from,2023,11,0.1934
2023_fromSJC,SJC,from,2023,12,0.0581
2023_fromSJC,SJC,from,2023,13,0.0945
2023_fromSJC,SJC,from,2023,14,0.0546
2023_fromSJC,SJC,from,2023,15,0.0168
2023_fromSJC,SJC,from,2023,16,0.0525
2023_fromSJC,SJC,from,2023,17,0.0061
2023_fromSJC,SJC,from,2023,18,0.0021
2023_fromSJC,SJC,from,2023,19,0.0020
2023_fromSJC,SJC,from,2023,20,0.0004
2023_fromSJC,SJC,from,2023,21,0.0004
2023_fromSJC,SJC,from,2023,22,0.0018
2023_fromSJC,SJC,from,2023,23,0.0059
2023_fromSJC,SJC,from,2023,24,0.0037
2023_fromSJC,SJC,from,2023,25,0.0008
2023_fromSJC,SJC,from,2023,26,0.0000
2023_fromSJC,SJC,from,2023,27,0.0002
2023_fromSJC,SJC,from,2023,28,0.0024
2023_fromSJC,SJC,from,2023,29,0.0014
2023_fromSJC,SJC,from,2023,30,0.0001
2023_fromSJC,SJC,from,2023,31,0.0002
2023_fromSJC,SJC,from,2023,32,0.0000
