airport,direction,tod,share_tod
OAK,from,EA,0.0646
OAK,from,AM,0.1529
OAK,from,MD,0.2702
OAK,from,PM,0.2239
OAK,from,EV,0.2885
SFO,from,EA,0.0642
SFO,from,AM,0.1647
SFO,from,MD,0.2460
SFO,from,PM,0.2203
SFO,from,EV,0.3048
SJC,from,EA,0.0740
SJC,from,AM,0.1105
SJC,from,MD,0.2148
SJC,from,PM,0.3253
SJC,from,EV,0.2763
OAK,to,EA,0.2707
OAK,to,AM,0.3824
OAK,to,MD,0.1386
OAK,to,PM,0.1010
OAK,to,EV,0.1063
SFO,to,EA,0.2241
SFO,to,AM,0.3906
SFO,to,MD,0.1547
SFO,to,PM,0.1078
SFO,to,EV,0.1227
SJC,to,EA,0.2844
SJC,to,AM,0.4753
SJC,to,MD,0.1417
SJC,to,PM,0.0430
SJC,to,EV,0.0556
