Station,Node
12th St./Oakland City Center,15509
16th St. Mission,15515
19th St./Oakland,15508
24th St. Mission,15516
Alum Rock,14204
Ashby,15525
Balboa Park,15518
Bay Fair,15530
Berkeley,15523
Berryessa,14203
Castro Valley,15537
Civic Center,15514
Coliseum/Oakland Airport,15532
Colma,15539
Concord,15501
Daly City,15519
Dublin/Pleasanton,15538
El Cerrito Del Norte,15521
El Cerrito Plaza,15522
Embarcadero,15511
Fremont,15526
Fruitvale,15533
Glen Park,15517
Hayward,15529
Hegenberger,14209
Hostetter,10563
Irvington,15549
Lafayette,15504
Lake Merritt,15534
MacArthur,15507
Millbrae,15543
Milpitas - SR237,10549
Milpitas-Capitol/Montague,14202
Montgomery,15512
North Berkeley,15524
North Concord,15535
Oakland Airport,15000
Orinda,15505
Pittsburg/Bay Point,15536
Pleasant Hill,15502
Powell,15513
Richmond,15520
Rockridge,15506
San Bruno,15541
San Jose Diridon,14207
San Jose State,14205
San Jose Transit Mall,14206
San Leandro,15531
Santa Clara,14208
SFO,15542
South Hayward,15528
South San Francisco,15540
South Warm Springs,15548
Union City,15527
Walnut Creek,15503
Warm Springs,15544
West Dublin,15545
West Oakland,15510
