TAZ1454,LT_FR_CA_OFF_production,LT_FR_CA_OFF_attraction,LT_FR_CA_AM_production,LT_FR_CA_AM_attraction,LT_FR_CA_MID_production,LT_FR_CA_MID_attraction,LT_FR_CA_PM_production,LT_FR_CA_PM_attraction,MT1_FR_CA_OFF_production,MT1_FR_CA_OFF_attraction,MT1_FR_CA_AM_production,MT1_FR_CA_AM_attraction,MT1_FR_CA_MID_production,MT1_FR_CA_MID_attraction,MT1_FR_CA_PM_production,MT1_FR_CA_PM_attraction,MT2_FR_CA_OFF_production,MT2_FR_CA_OFF_attraction,MT2_FR_CA_AM_production,MT2_FR_CA_AM_attraction,MT2_FR_CA_MID_production,MT2_FR_CA_MID_attraction,MT2_FR_CA_PM_production,MT2_FR_CA_PM_attraction,HT_FR_CA_OFF_production,HT_FR_CA_OFF_attraction,HT_FR_CA_AM_production,HT_FR_CA_AM_attraction,HT_FR_CA_MID_production,HT_FR_CA_MID_attraction,HT_FR_CA_PM_production,HT_FR_CA_PM_attraction,MT1_FR_EXT_OFF_production,MT1_FR_EXT_OFF_attraction,MT1_FR_EXT_AM_production,MT1_FR_EXT_AM_attraction,MT1_FR_EXT_MID_production,MT1_FR_EXT_MID_attraction,MT1_FR_EXT_PM_production,MT1_FR_EXT_PM_attraction,MT2_FR_EXT_OFF_production,MT2_FR_EXT_OFF_attraction,MT2_FR_EXT_AM_production,MT2_FR_EXT_AM_attraction,MT2_FR_EXT_MID_production,MT2_FR_EXT_MID_attraction,MT2_FR_EXT_PM_production,MT2_FR_EXT_PM_attraction,HT_FR_EXT_OFF_production,HT_FR_EXT_OFF_attraction,HT_FR_EXT_AM_production,HT_FR_EXT_AM_attraction,HT_FR_EXT_MID_production,HT_FR_EXT_MID_attraction,HT_FR_EXT_PM_production,HT_FR_EXT_PM_attraction,LT_NF_CA_OFF_production,LT_NF_CA_OFF_attraction,LT_NF_CA_AM_production,LT_NF_CA_AM_attraction,LT_NF_CA_MID_production,LT_NF_CA_MID_attraction,LT_NF_CA_PM_production,LT_NF_CA_PM_attraction,MT1_NF_CA_OFF_production,MT1_NF_CA_OFF_attraction,MT1_NF_CA_AM_production,MT1_NF_CA_AM_attraction,MT1_NF_CA_MID_production,MT1_NF_CA_MID_attraction,MT1_NF_CA_PM_production,MT1_NF_CA_PM_attraction,MT2_NF_CA_OFF_production,MT2_NF_CA_OFF_attraction,MT2_NF_CA_AM_production,MT2_NF_CA_AM_attraction,MT2_NF_CA_MID_production,MT2_NF_CA_MID_attraction,MT2_NF_CA_PM_production,MT2_NF_CA_PM_attraction,HT_NF_CA_OFF_production,HT_NF_CA_OFF_attraction,HT_NF_CA_AM_production,HT_NF_CA_AM_attraction,HT_NF_CA_MID_production,HT_NF_CA_MID_attraction,HT_NF_CA_PM_production,HT_NF_CA_PM_attraction
1,1.4422278,2.9268074,0.93591803,1.9014046,1.4069269,2.8710117,0.8969172,1.832804,8.161839,13.961816,5.3104897,9.083877,8.021236,13.742082,5.1291866,8.786092,2.5824525,4.4434023,1.6787341,2.8879085,2.527851,4.358405,1.6150326,2.7847018,5.2226586,15.766026,3.397138,10.25808,5.123457,15.520098,3.2749367,9.922898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39425,36.75941,23.67212,23.905891,35.919437,36.275436,22.9547,23.185192,8.201109,8.284452,5.3357363,5.38877,8.098106,8.177259,5.1763325,5.2286706,12.660902,12.673915,8.235931,8.241851,12.497899,12.506732,7.9865284,7.9944487,22.274853,22.337862,14.48463,14.526515,21.981647,22.045362,14.0510235,14.0867195
2,2.2089434,4.5829134,1.433828,2.9769096,2.155542,4.4943175,1.3746266,2.8688078,12.581318,21.797325,8.186441,14.18258,12.365614,21.454992,7.9066377,13.7169,4.027674,6.9244943,2.6180482,4.500507,3.942572,6.791507,2.518246,4.3396006,8.045908,24.573452,5.23507,15.990892,7.894005,24.193106,5.047968,15.470411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.51596,56.073822,36.10505,36.469925,54.79284,55.34187,35.014923,35.372993,12.528421,12.66464,8.153609,8.235555,12.3661175,12.49734,7.9062033,7.988061,19.501114,19.538597,12.679604,12.707531,19.242609,19.285185,12.298497,12.321028,34.370743,34.50112,22.350954,22.439396,33.922237,34.048992,21.679344,21.764153
3,0.13300002,0.20850307,0.086,0.13590199,0.12910001,0.204803,0.081999995,0.13130191,0.8191094,1.0980027,0.53180605,0.71370184,0.80040896,1.0794036,0.51040566,0.6896019,0.2287,0.2822061,0.148,0.18370399,0.22210002,0.277106,0.14119999,0.17740394,0.8620093,1.1964028,0.559706,0.7777018,0.842409,1.1760036,0.5376057,0.751102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.662231,12.788444,8.236616,8.3191595,12.495428,12.623728,7.9891095,8.068556,2.693369,2.7218864,1.750545,1.7703941,2.6588678,2.687789,1.7000438,1.7189956,2.6727428,2.6803844,1.7415279,1.7474896,2.6380422,2.6464832,1.6860274,1.69139,4.2098665,4.234076,2.7417436,2.754083,4.156866,4.176874,2.6571422,2.6701844
4,0.85735965,1.4321331,0.5558724,0.9306212,0.8354137,1.4059715,0.53284943,0.8977623,4.154414,6.347042,2.7033863,4.129049,4.080101,6.2489934,2.610745,3.9953732,1.5291975,2.0361996,0.9936,1.3220896,1.4952796,1.9965849,0.95526665,1.2741629,3.510297,6.741967,2.2831352,4.3864603,3.4448104,6.638012,2.2039714,4.2454276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.595055,26.621061,17.297028,17.314745,26.248802,26.273134,16.774775,16.790707,5.9171534,5.9277215,3.85015,3.8548374,5.8449755,5.8507156,3.734321,3.7394893,8.640773,8.543641,5.618826,5.557833,8.529224,8.435964,5.447628,5.390703,14.967977,14.829046,9.731516,9.641181,14.772239,14.6370125,9.44188,9.352294
5,1.1616621,3.5058885,0.7535417,2.278995,1.1328074,3.4431543,0.72246385,2.2001512,5.9214396,15.726949,3.8518138,10.232738,5.8156495,15.499999,3.718351,9.908816,2.2101579,5.0768104,1.4367361,3.301723,2.1635745,4.990229,1.381568,3.1888442,5.895495,16.252232,3.834525,10.574019,5.79008,16.017593,3.7016864,10.240561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.91195,51.649437,33.111774,33.592865,50.24707,50.976707,32.11109,32.578655,11.477286,11.6440935,7.4633365,7.5742826,11.32926,11.49391,7.240957,7.345437,16.079424,16.114727,10.456431,10.478574,15.868967,15.907298,10.142021,10.164917,28.438313,28.554316,18.49023,18.567093,28.06494,28.181566,17.93785,18.009743
6,3.6805587,0.41729996,2.3955379,0.27129996,3.6228576,0.41019997,2.3162365,0.2619002,15.2292795,2.0617106,9.905118,1.3401057,15.010777,2.0260096,9.5935135,1.2941054,4.464449,0.51830304,2.904632,0.33710197,4.3943486,0.50960314,2.8106306,0.32550198,17.029205,2.2240095,11.075534,1.445505,16.785702,2.18641,10.72763,1.3962057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.09073,68.78218,44.28093,44.732513,67.20121,67.88267,42.947193,43.383694,14.8455715,15.0019245,9.654642,9.756575,14.651966,14.806322,9.363435,9.462557,3.6233582,3.6354759,2.3588378,2.3684883,3.5761569,3.5869753,2.2857366,2.2933865,6.0115957,6.0440655,3.9096618,3.9291732,5.9325943,5.963565,3.7916605,3.812677
7,0.1793,0.7523025,0.116,0.488902,0.17420001,0.7384031,0.1107,0.47140157,0.99591553,3.8525014,0.64761007,2.5057068,0.9756149,3.7912118,0.6225095,2.4230042,0.3452,1.1737055,0.224,0.7623036,0.3364,1.1509066,0.2146,0.734504,1.1951125,4.078705,0.77740794,2.6532094,1.1710119,4.0142155,0.7483076,2.5660064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.91173,84.747055,54.56999,55.11289,82.8136,83.63648,52.92454,53.450817,18.351257,18.539417,11.935398,12.058444,18.111553,18.296516,11.57389,11.694345,4.585574,4.5828714,2.9834476,2.9799821,4.524972,4.522971,2.8930464,2.8901825,7.8326244,7.841953,5.0929804,5.0960674,7.7317224,7.738155,4.940278,4.9457736
8,0.16690001,0.42389998,0.108,0.2755,0.16209999,0.41569996,0.103099994,0.2655002,0.94160926,2.4200923,0.611606,1.5722939,0.92090905,2.3738964,0.5875057,1.5155952,0.33630002,0.63069975,0.21800002,0.4092,0.3274,0.6173002,0.20860001,0.39359978,1.1378156,2.723902,0.73941004,1.7700983,1.113315,2.6719053,0.7111096,1.7060999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.08112,129.33595,83.294586,84.109985,126.40858,127.645676,80.78403,81.57631,27.92309,28.20478,18.16125,18.34213,27.55858,27.835896,17.612936,17.789541,3.2545524,3.2443802,2.121534,2.1137874,3.2137513,3.202482,2.054333,2.0478883,5.3171844,5.309268,3.460155,3.4529805,5.248283,5.2408667,3.3538527,3.3462777
9,0.3184,1.6310192,0.20599999,1.0593112,0.3094,1.5997185,0.1966,1.0211122,1.7723186,6.9194045,1.151212,4.5028067,1.7335179,6.814199,1.1064113,4.359306,0.5832,2.1396122,0.37800002,1.3906075,0.5677,2.1001134,0.3615,1.3415077,2.0760188,7.266808,1.348912,4.7275057,2.0316179,7.155398,1.2965114,4.575611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.82556,165.45432,106.541245,107.60195,161.68262,163.29459,103.32855,104.35768,35.85058,36.21776,23.315771,23.555798,35.38337,35.746845,22.610752,22.848207,9.507453,9.4931345,6.184,6.177764,9.381651,9.368134,5.996496,5.9899645,16.30226,16.305416,10.602669,10.608233,16.090055,16.094799,10.282764,10.28675
10,0.7337094,1.0458057,0.47580603,0.68040377,0.71510905,1.0286062,0.4560057,0.6567039,3.42344,4.945417,2.226426,3.2155128,3.359139,4.8651175,2.146925,3.1077101,1.1423156,1.2974088,0.74141,0.8437057,1.1159151,1.2758093,0.7114095,0.8150057,4.605564,5.233321,2.996242,3.402013,4.5243635,5.149119,2.8907404,3.2882125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.47313,115.604454,74.44624,75.183495,112.9731,114.0939,72.20159,72.91673,25.014814,25.271183,16.2717,16.438532,24.690807,24.940687,15.781688,15.940424,8.470436,8.448253,5.5124893,5.498365,8.360635,8.337452,5.3425856,5.327865,14.340028,14.32791,9.326648,9.315652,14.152125,14.141914,9.042644,9.036843
