zone,totpop,tothh,hhinc1,hhinc2,hhinc3,hhinc4,hhage1,hhage2,hhage3,hhage4,hhchild,hhnochild,hhsize1,hhsize2,hhsize3,hhsize4,hhsize5,description
99,741,487,341,124,22,0,109,210,60,108,21,466,322,112,33,4,16,downtown zone
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
102,272,204,153,32,19,0,79,55,20,50,4,200,144,56,1,2,1,rural zone
103,12,9,9,0,0,0,7,1,1,0,0,9,6,3,0,0,0,downtown zone
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
105,1047,646,529,84,33,0,467,133,25,21,0,646,343,224,66,7,6,downtown zone
106,629,356,166,109,68,13,56,188,55,57,42,314,167,127,43,16,3,rural zone
107,673,412,170,182,60,0,25,140,65,182,45,367,229,144,7,25,7,downtown zone
108,1575,680,173,229,266,12,23,300,160,197,195,485,184,285,82,70,59,rural zone
109,1133,504,122,218,80,84,54,245,141,64,123,381,134,207,91,48,24,downtown zone
110,455,221,176,31,14,0,85,109,12,15,49,172,40,138,33,10,0,rural zone
111,1140,513,162,247,104,0,50,315,35,113,145,368,156,187,94,52,24,downtown zone
112,1175,588,180,248,127,33,64,291,86,147,122,466,233,215,65,58,17,rural zone
113,1858,846,203,289,319,35,37,367,183,259,219,627,266,321,135,75,49,downtown zone
114,1637,627,121,255,203,48,49,310,188,80,228,399,101,260,111,92,63,rural zone
115,1403,537,38,191,227,81,1,235,201,100,197,340,95,205,95,97,45,downtown zone
116,229,115,32,35,44,4,6,59,20,30,30,85,48,35,19,11,2,rural zone
117,1618,628,141,101,272,114,6,280,223,119,238,390,111,238,126,112,41,downtown zone
118,1294,517,64,124,229,100,16,244,150,107,176,341,123,173,98,84,39,rural zone
119,141,49,2,5,26,16,0,19,22,8,19,30,1,23,10,11,4,downtown zone
120,1258,495,88,144,181,82,3,215,168,109,148,347,80,215,94,64,42,rural zone
121,996,419,69,111,211,28,0,147,138,134,116,303,74,218,41,67,19,downtown zone
122,1650,648,111,163,264,110,60,256,195,137,197,451,121,269,101,97,60,rural zone
123,1627,588,51,154,279,104,0,274,213,101,250,338,74,209,135,120,50,downtown zone
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
125,1232,529,162,223,123,21,18,267,100,144,154,375,133,227,72,56,41,downtown zone
126,1122,517,274,166,77,0,100,293,91,33,151,366,169,199,66,58,25,rural zone
127,174,71,18,35,18,0,4,39,24,4,20,51,19,29,5,8,10,downtown zone
128,82,45,24,18,3,0,6,29,5,5,8,37,25,12,2,3,3,rural zone
129,1064,456,288,98,70,0,71,208,90,87,146,310,166,101,95,59,35,downtown zone
130,771,294,89,147,58,0,19,158,83,34,106,188,44,107,68,66,9,rural zone
