TAZ,PUMA,COUNTY,county_name,REGION
1,7509,1,San Francisco,1
2,7509,1,San Francisco,1
3,7509,1,San Francisco,1
4,7509,1,San Francisco,1
5,7509,1,San Francisco,1
6,7509,1,San Francisco,1
7,7509,1,San Francisco,1
8,7509,1,San Francisco,1
9,7509,1,San Francisco,1
10,7510,1,San Francisco,1
11,7510,1,San Francisco,1
12,7510,1,San Francisco,1
13,7510,1,San Francisco,1
14,7510,1,San Francisco,1
15,7510,1,San Francisco,1
16,7510,1,San Francisco,1
17,7510,1,San Francisco,1
18,7510,1,San Francisco,1
19,7510,1,San Francisco,1
20,7510,1,San Francisco,1
21,7510,1,San Francisco,1
22,7509,1,San Francisco,1
23,7509,1,San Francisco,1
24,7509,1,San Francisco,1
25,7509,1,San Francisco,1
26,7509,1,San Francisco,1
27,7509,1,San Francisco,1
28,7509,1,San Francisco,1
29,7509,1,San Francisco,1
30,7509,1,San Francisco,1
31,7509,1,San Francisco,1
32,7509,1,San Francisco,1
33,7509,1,San Francisco,1
34,7509,1,San Francisco,1
35,7509,1,San Francisco,1
36,7509,1,San Francisco,1
37,7509,1,San Francisco,1
38,7509,1,San Francisco,1
39,7509,1,San Francisco,1
40,7509,1,San Francisco,1
41,7509,1,San Francisco,1
42,7509,1,San Francisco,1
43,7514,1,San Francisco,1
44,7514,1,San Francisco,1
45,7514,1,San Francisco,1
46,7514,1,San Francisco,1
47,7514,1,San Francisco,1
48,7514,1,San Francisco,1
49,7514,1,San Francisco,1
50,7514,1,San Francisco,1
51,7514,1,San Francisco,1
52,7508,1,San Francisco,1
53,7508,1,San Francisco,1
54,7508,1,San Francisco,1
55,7508,1,San Francisco,1
56,7508,1,San Francisco,1
57,7508,1,San Francisco,1
58,7508,1,San Francisco,1
59,7508,1,San Francisco,1
60,7508,1,San Francisco,1
61,7508,1,San Francisco,1
62,7508,1,San Francisco,1
63,7508,1,San Francisco,1
64,7508,1,San Francisco,1
65,7508,1,San Francisco,1
66,7508,1,San Francisco,1
67,7508,1,San Francisco,1
68,7508,1,San Francisco,1
69,7508,1,San Francisco,1
70,7508,1,San Francisco,1
71,7508,1,San Francisco,1
72,7514,1,San Francisco,1
73,7514,1,San Francisco,1
74,7514,1,San Francisco,1
75,7514,1,San Francisco,1
76,7514,1,San Francisco,1
77,7514,1,San Francisco,1
78,7514,1,San Francisco,1
79,7514,1,San Francisco,1
80,7514,1,San Francisco,1
81,7514,1,San Francisco,1
82,7511,1,San Francisco,1
83,7511,1,San Francisco,1
84,7514,1,San Francisco,1
85,7514,1,San Francisco,1
86,7514,1,San Francisco,1
87,7508,1,San Francisco,1
88,7511,1,San Francisco,1
89,7511,1,San Francisco,1
90,7512,1,San Francisco,1
91,7512,1,San Francisco,1
92,7512,1,San Francisco,1
93,7511,1,San Francisco,1
94,7511,1,San Francisco,1
95,7511,1,San Francisco,1
96,7511,1,San Francisco,1
97,7511,1,San Francisco,1
98,7511,1,San Francisco,1
99,7511,1,San Francisco,1
100,7511,1,San Francisco,1
101,7511,1,San Francisco,1
102,7511,1,San Francisco,1
103,7511,1,San Francisco,1
104,7511,1,San Francisco,1
105,7511,1,San Francisco,1
106,7511,1,San Francisco,1
107,7510,1,San Francisco,1
108,7510,1,San Francisco,1
109,7510,1,San Francisco,1
110,7510,1,San Francisco,1
111,7510,1,San Francisco,1
112,7510,1,San Francisco,1
113,7510,1,San Francisco,1
114,7510,1,San Francisco,1
115,7510,1,San Francisco,1
116,7510,1,San Francisco,1
117,7510,1,San Francisco,1
118,7510,1,San Francisco,1
119,7510,1,San Francisco,1
120,7510,1,San Francisco,1
121,7511,1,San Francisco,1
122,7511,1,San Francisco,1
123,7511,1,San Francisco,1
124,7511,1,San Francisco,1
125,7511,1,San Francisco,1
126,7511,1,San Francisco,1
127,7511,1,San Francisco,1
128,7511,1,San Francisco,1
129,7511,1,San Francisco,1
130,7511,1,San Francisco,1
131,7513,1,San Francisco,1
132,7513,1,San Francisco,1
133,7513,1,San Francisco,1
134,7513,1,San Francisco,1
135,7507,1,San Francisco,1
136,7507,1,San Francisco,1
137,7507,1,San Francisco,1
138,7507,1,San Francisco,1
139,7507,1,San Francisco,1
140,7507,1,San Francisco,1
141,7507,1,San Francisco,1
142,7507,1,San Francisco,1
143,7507,1,San Francisco,1
144,7507,1,San Francisco,1
145,7507,1,San Francisco,1
146,7507,1,San Francisco,1
147,7507,1,San Francisco,1
148,7507,1,San Francisco,1
149,7507,1,San Francisco,1
150,7507,1,San Francisco,1
151,7507,1,San Francisco,1
152,7507,1,San Francisco,1
153,7507,1,San Francisco,1
154,7507,1,San Francisco,1
155,7507,1,San Francisco,1
156,7507,1,San Francisco,1
157,7507,1,San Francisco,1
158,7507,1,San Francisco,1
159,7507,1,San Francisco,1
160,7507,1,San Francisco,1
161,7507,1,San Francisco,1
162,7507,1,San Francisco,1
163,7507,1,San Francisco,1
164,7513,1,San Francisco,1
165,7513,1,San Francisco,1
166,7513,1,San Francisco,1
167,7513,1,San Francisco,1
