"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
1,87022,153377,164330,87989,4266,92931,31682,14635,15456,25249,503850,4439,10087,84370,38412,27022,18559,230337,125382,115,44278,85179,4065,8946,6013,10951
2,106122,217514,222417,134669,20835,94667,21418,16251,22812,45641,133952,8864,20586,109308,47808,35851,6625,15196,98636,57,2434,11004,6931,6281,1076,4897
3,129433,342928,349927,195671,64740,73468,28236,23317,27386,50494,200956,15915,43328,150096,88904,51684,10371,34071,93765,14,30526,32209,8650,11572,20879,6992
4,50392,134811,135910,75590,36347,18689,10523,10079,11346,18444,34017,5645,17362,50969,34667,27267,2549,3503,25517,48,729,1671,7098,24504,5982,1099
5,102867,304844,306424,164125,73681,33515,20868,23249,26391,32359,160337,14966,47878,108435,81754,53391,13038,35070,53733,443,43908,14145,11622,1741,5446,1575
6,86284,224341,226374,117271,54684,36618,14099,14537,19398,38250,115166,12345,38535,78229,58617,38648,8740,42514,39843,317,7580,16172,11026,3359,7684,2032
7,82217,231344,233747,119676,59132,26974,13121,14433,17156,37507,183370,12815,44245,80964,61023,34700,8363,45823,50371,821,14482,63510,9655,1312,3892,2398
8,75162,187859,201156,96684,47754,32896,12342,10571,13439,38810,194330,8499,34656,76362,48627,33012,7775,48167,99778,189,11999,26422,11199,15778,16461,13293
9,117112,302120,303287,170780,56330,66321,15882,19248,28799,53183,415304,19690,43310,145337,63182,31768,11705,147023,57759,54,111806,86957,9733,2587,7908,1166
10,124535,343253,344164,165716,90452,40851,19015,20837,26425,58258,168078,16177,68768,107845,97950,53424,15778,24902,71861,103,46268,9166,17405,9969,23996,902
11,114154,317806,329585,171378,67744,51553,28646,27063,25545,32900,185509,17237,58653,133597,80363,39735,12046,40806,82750,198,12710,36999,14119,32746,16181,11780
12,118892,419161,421517,209260,98615,23395,21962,23142,31210,42578,115598,21664,78329,149230,111950,60344,11514,14552,53677,122,23644,12089,22021,1882,7166,2348
13,78531,234865,235967,118042,62024,17977,12728,15412,19459,30932,62305,12718,45923,77767,65431,34128,8495,8881,31485,80,10234,3130,12742,0,0,1102
14,40738,129399,130538,60140,34821,6372,7128,9313,10318,13979,46527,7493,28234,40380,35312,19119,5937,7090,17542,1798,9408,4752,6774,1106,2599,1141
15,86748,243588,245435,124066,67853,20321,10999,15043,21714,38992,150070,13606,50730,81236,67221,32642,15444,47376,39359,276,21668,25947,12209,1106,4893,1847
