TAZ1454,AGREMPN,FPSEMPN,HEREMPN,MWTEMPN,OTHEMPN,RETEMPN,TOTEMP
1,6,16960,1464,589,1778,397,21194
2,23,21297,3002,1568,5044,372,31306
3,0,1065,400,3,470,34,1972
4,2,16088,3222,852,3779,523,24466
5,0,7384,4398,1242,1879,3391,18294
6,0,587,3306,36,192,82,4203
7,0,1999,5370,1344,79,389,9181
8,0,1011,3288,92,529,118,5038
9,0,1162,5556,7,2164,118,9007
10,0,5566,15457,1543,12414,297,35277
11,0,4127,4170,209,3032,2691,14229
12,0,11143,6821,1214,1564,2694,23436
13,4,16078,1673,585,2374,196,20910
14,5,23837,954,9308,4809,75,38988
15,0,9251,1101,7127,2903,122,20504
16,16,18907,2568,2872,9061,346,33770
17,6,7844,1727,2769,5672,418,18436
18,1,3216,2425,559,3045,322,9568
19,0,5768,5556,593,3077,1332,16326
20,0,2640,1705,816,1539,608,7308
21,16,9201,2784,3971,1676,321,17969
22,8,9838,2789,299,2596,269,15799
23,0,6630,1264,611,2184,210,10899
24,4,9738,2807,326,4382,593,17850
25,0,242,1548,17,28,159,1994
26,0,3019,1266,199,1111,46,5641
27,0,74,1607,0,0,104,1785
28,0,153,574,3,33,25,788
29,0,582,1572,35,8,17,2214
30,0,222,830,532,79,114,1777
31,0,407,1992,13,15,17,2444
32,0,242,1343,12,50,355,2002
33,0,310,850,82,57,96,1395
34,0,226,771,24,32,170,1223
35,2,167,346,8,2,24,549
36,11,307,1786,24,72,269,2469
37,0,770,1617,165,243,83,2878
38,0,661,681,255,128,160,1885
39,4,135,666,13,25,24,867
40,4,830,1102,472,42,217,2667
41,0,3312,2511,401,54,1004,7282
42,3,29,457,27,186,1,703
43,0,648,1319,50,37,276,2330
44,0,350,877,14,169,74,1484
45,3,674,1508,161,296,228,2870
46,0,817,1622,23,198,46,2706
47,0,710,2288,93,65,113,3269
48,0,147,716,72,18,88,1041
49,0,177,1087,7,21,3,1295
50,1,281,1235,32,123,419,2091
51,0,68,351,37,23,111,590
52,20,1863,2495,566,1493,352,6789
53,0,17,1334,0,60,2,1413
54,0,62,726,15,37,190,1030
55,0,42,240,19,19,42,362
56,0,197,3539,0,2,0,3738
57,0,36,221,10,5,0,272
58,0,70,647,30,22,46,815
59,0,124,825,69,90,18,1126
60,0,22,770,1,9,10,812
61,0,749,436,2,11,26,1224
62,0,174,1001,42,78,155,1450
63,0,129,566,4,76,90,865
64,0,82,421,9,48,131,691
65,2,299,850,28,124,281,1584
66,0,192,1202,35,45,267,1741
67,0,78,577,10,28,42,735
68,0,256,775,0,44,49,1124
69,0,265,11232,21,54,322,11894
70,0,493,1327,23,149,535,2527
71,11,373,2205,16,35,134,2774
72,0,282,1033,20,10,67,1412
73,0,118,1223,25,59,322,1747
74,0,453,2729,21,16,199,3418
75,0,800,4073,47,41,416,5377
76,0,385,1043,20,1704,142,3294
77,0,181,1628,7,59,149,2024
78,0,90,1308,23,3,6,1430
79,0,475,7759,387,4121,169,12911
80,0,181,455,14,18,16,684
81,8,438,12013,52,107,62,12680
82,0,524,593,15,37,267,1436
83,0,423,133,14,20,19,609
84,0,247,1438,42,65,30,1822
85,0,195,678,54,188,174,1289
86,0,48,982,5,31,52,1118
87,0,119,1865,8,21,26,2039
88,12,197,657,40,200,439,1545
89,0,164,856,62,54,103,1239
90,0,183,420,0,39,9,651
