"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","hhlds","gqpop"
28,1,1,1,1968,3438,3451,2063,90,2151,356,341,455,816,44,20,5,0.267654751525719,788,94,128,1665,744,820,25,153,574,0,3,33,150,546,0,0,0,0,4.64345,1,0,1968,13
29,1,1,1,3245,4931,5028,3462,81,3608,955,790,860,640,37,15,4,0.164173149810493,2214,79,152,3057,1059,681,17,582,1572,0,35,8,195.08857,710.12238,0,0,0,0,5.16354,1,0,3245,97
30,1,1,1,3945,6672,7012,3909,48,4856,2042,842,547,514,46,14,10,0.167501072807896,1777,159,499,3591,1813,950,114,222,830,0,532,79,95,130,1,0,0,0,4.27113,1,0,3945,340
31,1,1,1,2725,4148,4282,2766,73,2884,978,749,563,435,32,8.53555,9,0.146404310142891,2444,78,200,2538,952,514,17,407,1992,0,13,15,119.23738,163.16694,1,0,0,0,4.57973,1,0,2725,134
32,1,1,1,3281,5463,5511,3369,109,3376,779,676,1046,780,58,21,13,0.217327994175464,2002,116,177,3072,1138,1008,355,242,1343,0,12,50,108.87246,148.98336,1,0,0,0,4.76779,1,0,3281,47
33,1,1,1,2816,5435,5458,3623,198,2905,780,363,668,1005,59,23.76161,9,0.181734656376332,1395,170,241,3193,1016,838,96,310,850,0,82,57,95,102,1,0,0,0,4.31607,1,0,2816,23
34,1,1,1,2650,4684,4684,3341,84,2639,570,333,642,1105,60,29,4,0.199357601713062,1223,144,195,2717,820,808,170,226,771,0,24,32,89.919,111.85047,1,0,0,0,4.61205,1,0,2650,0
35,1,1,1,2372,4587,4587,3548,296,2670,705,366,295,1006,58,30,2,0.240760988410234,549,132,243,2364,891,957,24,167,346,2,8,2,109,109,1,0,0,0,4.5968,1,0,2372,0
36,1,1,1,2631,5488,5581,2831,107,2888,1633,550,212,236,47,14,7,0.334291876347951,2469,147,485,1870,1522,1557,269,307,1786,11,24,72,171,239,1,0,0,0,4.83477,1,0,2631,93
37,1,1,1,1818,3517,3565,2061,33,2079,840,316,315,347,43,12,8,0.23832301631964,2878,69,217,1718,864,697,83,770,1617,0,165,243,171,239,1,0,386,0,4.85157,1,0,1818,48
38,1,1,1,2373,4454,4468,2692,202,2668,612,306,400,1055,83,37,6,0.20381593714927,1885,116,277,2281,1001,793,160,661,681,0,255,128,109,450,1,0,0,0,4.36496,1,0,2373,14
39,1,1,1,2072,4095,4096,2789,129,2419,459,369,407,837,67,31,6,0.211802154750245,867,118,232,2147,875,724,24,135,666,4,13,25,109,450,2,0,502,87,4.38114,1,0,2072,1
40,1,1,1,2602,4531,4556,3313,336,2660,316,362,587,1337,128,43,28,0.217965653896962,2667,145,233,2421,896,861,217,830,1102,4,472,42,272.22434,886.6022,2,1890,0,0,4.69638,1,0,2602,25
41,1,1,1,2134,3928,4016,1860,322,2078,1012,283,390,449,183,20,90,0.252497502497503,7282,114,274,1892,849,887,1004,3312,2511,0,401,54,122.91616,615.70849,1,0,0,0,4.07675,2,0,2134,88
42,1,1,1,645,2102,2741,1879,207,474,272,102,72,199,628,116.32432,484,0.128430296377607,703,93,350,1295,751,252,1,29,457,3,27,186,0,0,3,22,0,0,1.01785,2,0,645,639
43,2,2,1,3192,5638,5652,3773,416,2800,378,420,749,1645,199,57,5,0.128837622005324,2330,293,383,3344,1012,620,276,648,1319,0,50,37,0,0,2,0,0,0,3.67666,3,0,3192,14
44,2,2,1,3685,6485,6519,4902,207,3497,446,529,886,1824,136,56,14,0.129558393599015,1484,223,269,4314,1000,713,74,350,877,0,14,169,75,102,2,5,0,0,4.09835,2,0,3685,34
45,2,2,1,2470,4551,4563,3516,205,2521,235,161,851,1223,93,40.19286,15,0.155198944823038,2870,195,277,2688,780,623,228,674,1508,3,161,296,0,106.0362,1,0,0,0,5.10133,1,0,2470,12
