"COUNTY","pers_occ_management","pers_occ_professional","pers_occ_services","pers_occ_retail","pers_occ_manual","pers_occ_military"
1,97556,227868,126674,84345,67733,338
2,69876,153545,95167,60204,78339,518
3,151452,441045,203736,131480,182539,1357
4,120617,327345,203083,117981,175166,1555
5,96168,198233,159351,101797,143939,895
6,20047,47529,58763,34033,61346,4348
7,10432,16929,16830,13664,20204,83
8,37060,66084,68752,45612,70358,830
9,26385,46214,31311,22811,20318,161
