model_name,target,model_type,features,n_features,description,tags,r2,adj_r2,aic,bic,n_obs,mean_observed,mean_predicted,total_observed,total_predicted,bias,total_bias,mae,rmse,rank_rmse,rank_mae,rank_bic,rank_adj_r2,overall_rank_score
Heavy Truck - Freight - Attraction,"HT_FR_CA_OFF_attraction +  HT_FR_CA_AM_attraction +  HT_FR_CA_MID_attraction +  HT_FR_CA_PM_attraction +  HT_FR_EXT_OFF_attraction + HT_FR_EXT_AM_attraction + HT_FR_EXT_MID_attraction +   HT_FR_EXT_PM_attraction
",ols,TOTEMP,1,Large garage TM1.6 model specs. Lines 95 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1 1,"attraction, heavy, freight",0.3339560511,0.3334976589,13989.6512984701,13994.9333721282,1454,14.1175770985,10.7340111496,20526.9571012097,15607.2522115237,3.3835659489,-4919.704889686,9.1576928022,29.6992078203,1.0,1.0,1.0,1.0,4.0
Heavy Truck - Freight - Production,"HT_FR_CA_OFF_production +  HT_FR_CA_AM_production +  HT_FR_CA_MID_production +  HT_FR_CA_PM_production +  HT_FR_EXT_OFF_production + HT_FR_EXT_AM_production + HT_FR_EXT_MID_production +   HT_FR_EXT_PM_production
",ols,"RETEMPN, FPSEMPN, HEREMPN, OTHEMPN, AGREMPN, MWTEMPN",6,Large garage TM1.6 model specs. Lines 89-90 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"production, heavy, freight",0.2311574532,0.2279716415,15765.388387587,15797.0808295356,1454,12.9024883625,12.5779144774,18760.2180790749,18288.2876500725,0.3245738851,-471.9304290024,13.2573381571,54.5065128875,1.0,1.0,1.0,1.0,4.0
Heavy Truck - Non-Freight - Attraction,HT_NF_CA_OFF_attraction + HT_NF_CA_AM_attraction + HT_NF_CA_MID_attraction + HT_NF_CA_PM_attraction,ols,TOTEMP,1,Large non-garage TM1.6 model specs. Line 80 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"attraction, heavy, non-freight",0.7649090143,0.7647472174,11712.5699598625,11717.8520335206,1454,17.8473760944,12.4964203344,25950.084841316,18169.7951661889,5.3509557601,-7780.2896751271,7.8233389867,13.5729660287,1.0,1.0,1.0,1.0,4.0
Heavy Truck - Non-Freight - Production,HT_NF_CA_OFF_production + HT_NF_CA_AM_production + HT_NF_CA_MID_production + HT_NF_CA_PM_production,ols,TOTEMP,1,Large non-garage TM1.6 model specs. Line 74 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"production, heavy, non-freight",0.7647212921,0.7645593659,11727.5227809379,11732.804854596,1454,17.9301002023,12.5542891412,26070.365694102,18253.9364112737,5.3758110611,-7816.4292828283,7.8668111261,13.6429374246,1.0,1.0,1.0,1.0,4.0
Small Truck - Freight - Attraction,"LT_FR_CA_OFF_attraction +  LT_FR_CA_AM_attraction + LT_FR_CA_MID_attraction + LT_FR_CA_PM_attraction 
",ols,TOTEMP,1,Small garage TM1.6 model specs. Line 93in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"attraction, small, freight",0.4849690571,0.4846145967,7007.7734383467,7013.0555120048,1454,1.628083271,1.3332220874,2367.2330760894,1938.5049150867,0.2948611836,-428.7281610027,1.0406812109,2.6917714622,1.0,1.0,1.0,1.0,4.0
Small Truck - Freight - Production,"LT_FR_CA_OFF_production +  LT_FR_CA_AM_production + LT_FR_CA_MID_production + LT_FR_CA_PM_production 
",ols,"RETEMPN, FPSEMPN, HEREMPN, OTHEMPN, AGREMPN, MWTEMPN",6,Small garage TM1.6 model specs. Lines 83-84 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,,0.1301243878,0.1265199309,11773.1093825668,11804.8018245154,1454,1.6326117205,1.826459044,2373.8174415997,2655.6714500024,-0.1938473235,281.8540084027,2.3598385141,13.8109183801,1.0,1.0,1.0,1.0,4.0
Small Truck - Non-Freight - Attraction,LT_NF_CA_OFF_attraction + LT_NF_CA_AM_attraction + LT_NF_CA_MID_attraction + LT_NF_CA_PM_attraction,ols,TOTEMP,1,Small non-garage TM1.6 model specs. Line 78 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"attraction, small, non-freight",0.2773345785,0.2768372175,20581.5536971574,20586.8357708155,1454,280.5212138499,90.6083246182,407877.84493776,131744.5039948475,189.9128892317,-276133.3409429125,228.7297760444,286.5568307098,1.0,1.0,1.0,1.0,4.0
Small Truck - Non-Freight - Production,LT_NF_CA_OFF_production + LT_NF_CA_AM_production + LT_NF_CA_MID_production + LT_NF_CA_PM_production,ols,TOTEMP,1,Small non-garage TM1.6 model specs. Line 72 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job,"production, small, non-freight",0.2772114684,0.2767140228,20559.1135845328,20564.3956581909,1454,278.2914426723,89.8842056091,404635.7576455,130691.6349556625,188.4072370632,-273944.1226898374,227.0032344502,284.3540725607,1.0,1.0,1.0,1.0,4.0
Medium Truck - Freight - Attraction,"MT1_FR_CA_OFF_attraction +  MT1_FR_CA_AM_attraction +  MT1_FR_CA_MID_attraction +  MT1_FR_CA_PM_attraction + MT1_FR_EXT_OFF_attraction + MT1_FR_EXT_AM_attraction + MT1_FR_EXT_MID_attraction + MT1_FR_EXT_PM_attraction + MT2_FR_CA_OFF_attraction + MT2_FR_CA_AM_attraction + MT2_FR_CA_MID_attraction + MT2_FR_CA_PM_attraction + MT2_FR_EXT_OFF_attraction +  MT2_FR_EXT_AM_attraction + MT2_FR_EXT_MID_attraction + MT2_FR_EXT_PM_attraction
",ols,TOTEMP,1,Medium garage TM1.6 model specs. Line 94 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"attraction, medium, freight",0.3585467118,0.3581052436,13234.2759103619,13239.5579840199,1454,11.0217638875,8.7407328339,16025.6446924676,12709.0255405449,2.2810310536,-3316.6191519226,6.8405968606,22.9051705649,1.0,1.0,1.0,1.0,4.0
Medium Truck - Freight - Production,"MT1_FR_CA_OFF_production +  MT1_FR_CA_AM_production +  MT1_FR_CA_MID_production +  MT1_FR_CA_PM_production + MT1_FR_EXT_OFF_production + MT1_FR_EXT_AM_production + MT1_FR_EXT_MID_production + MT1_FR_EXT_PM_production + MT2_FR_CA_OFF_production + MT2_FR_CA_AM_production + MT2_FR_CA_MID_production + MT2_FR_CA_PM_production + MT2_FR_EXT_OFF_production +  MT2_FR_EXT_AM_production + MT2_FR_EXT_MID_production + MT2_FR_EXT_PM_production
",ols,"RETEMPN, FPSEMPN, HEREMPN, OTHEMPN, AGREMPN, MWTEMPN",6,Medium garage TM1.6 model specs. Lines 86-87 in travel-model-one/model-files/scripts/nonres/TruckTripGeneration.job 1,"production, medium, freight",0.18140476,0.1780127908,15984.7274716757,16016.4199136242,1454,10.9789141829,11.1524061923,15963.3412219929,16215.5986036104,-0.1734920094,252.2573816175,12.7224036166,58.7767455004,1.0,1.0,1.0,1.0,4.0
