purpose,segment,TOTHH,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,AGE0519,HSENROLL,COLLFTE,COLLPTE
work,work,0,1,1,1,1,1,1,0,0,0,0
escort,kids,0.001,0.225,0,0.144,0,0,0,0.464,0.166,0,0
escort,no kids,0.001,0.225,0,0.144,0,0,0,0.464,0.166,0,0
shopping,shopping,0.001,0.999,0,0,0,0,0,0,0,0,0
eatOut,eatOut,0,0.742,0,0.258,0,0,0,0,0,0,0
othMaint,othMaint,0.001,0.481,0,0.518,0,0,0,0,0,0,0
social,social,0.001,0.521,0,0.478,0,0,0,0,0,0,0
othDiscr,othDiscr,0.252,0.212,0,0.272,0.165,0,0,0,0.098,0,0
