a,start,end,duration
1,5,5,0
2,5,6,1
3,5,7,2
4,5,8,3
5,5,9,4
6,5,10,5
7,5,11,6
8,5,12,7
9,5,13,8
10,5,14,9
11,5,15,10
12,5,16,11
13,5,17,12
14,5,18,13
15,5,19,14
16,5,20,15
17,5,21,16
18,5,22,17
19,5,23,18
20,6,6,0
21,6,7,1
22,6,8,2
23,6,9,3
24,6,10,4
25,6,11,5
26,6,12,6
27,6,13,7
28,6,14,8
29,6,15,9
30,6,16,10
31,6,17,11
32,6,18,12
33,6,19,13
34,6,20,14
35,6,21,15
36,6,22,16
37,6,23,17
38,7,7,0
39,7,8,1
40,7,9,2
41,7,10,3
42,7,11,4
43,7,12,5
44,7,13,6
45,7,14,7
46,7,15,8
47,7,16,9
48,7,17,10
49,7,18,11
50,7,19,12
51,7,20,13
52,7,21,14
53,7,22,15
54,7,23,16
55,8,8,0
56,8,9,1
57,8,10,2
58,8,11,3
59,8,12,4
60,8,13,5
61,8,14,6
62,8,15,7
63,8,16,8
64,8,17,9
65,8,18,10
66,8,19,11
67,8,20,12
68,8,21,13
69,8,22,14
70,8,23,15
71,9,9,0
72,9,10,1
73,9,11,2
74,9,12,3
75,9,13,4
76,9,14,5
77,9,15,6
78,9,16,7
79,9,17,8
80,9,18,9
81,9,19,10
82,9,20,11
83,9,21,12
84,9,22,13
85,9,23,14
86,10,10,0
87,10,11,1
88,10,12,2
89,10,13,3
90,10,14,4
91,10,15,5
92,10,16,6
93,10,17,7
94,10,18,8
95,10,19,9
96,10,20,10
97,10,21,11
98,10,22,12
99,10,23,13
100,11,11,0
101,11,12,1
102,11,13,2
103,11,14,3
104,11,15,4
105,11,16,5
106,11,17,6
107,11,18,7
108,11,19,8
109,11,20,9
110,11,21,10
111,11,22,11
112,11,23,12
113,12,12,0
114,12,13,1
115,12,14,2
116,12,15,3
117,12,16,4
118,12,17,5
119,12,18,6
120,12,19,7
121,12,20,8
122,12,21,9
123,12,22,10
124,12,23,11
125,13,13,0
126,13,14,1
127,13,15,2
128,13,16,3
129,13,17,4
130,13,18,5
131,13,19,6
132,13,20,7
133,13,21,8
134,13,22,9
135,13,23,10
136,14,14,0
137,14,15,1
138,14,16,2
139,14,17,3
140,14,18,4
141,14,19,5
142,14,20,6
143,14,21,7
144,14,22,8
145,14,23,9
146,15,15,0
147,15,16,1
148,15,17,2
149,15,18,3
150,15,19,4
151,15,20,5
152,15,21,6
153,15,22,7
154,15,23,8
155,16,16,0
156,16,17,1
157,16,18,2
158,16,19,3
159,16,20,4
160,16,21,5
161,16,22,6
162,16,23,7
163,17,17,0
164,17,18,1
165,17,19,2
166,17,20,3
167,17,21,4
168,17,22,5
169,17,23,6
170,18,18,0
171,18,19,1
172,18,20,2
173,18,21,3
174,18,22,4
175,18,23,5
176,19,19,0
177,19,20,1
178,19,21,2
179,19,22,3
180,19,23,4
181,20,20,0
182,20,21,1
183,20,22,2
184,20,23,3
185,21,21,0
186,21,22,1
187,21,23,2
188,22,22,0
189,22,23,1
190,23,23,0
