soc,occupation,description
11,1,management
13,2,professional (business/financial)
15,2,professional (computer/math)
17,2,professional (architecture/engineering)
19,2,professional (life/physical/social science)
21,3,services (community/social)
23,2,professional (legal)
25,2,professional (education)
27,3,services (arts/entertainment/media)
29,2,professional (healthcare practitioners)
31,3,services (healthcare support)
33,3,services (protective)
35,4,retail (food preparation/serving)
37,5,manual (building/grounds maintenance)
39,3,services (personal care)
41,4,retail (sales)
43,3,services (office/admin)
45,5,manual (farming/fishing/forestry)
47,5,manual (construction/extraction)
49,5,manual (installation/maintenance/repair)
51,5,manual (production)
53,5,manual (transportation/material moving)
55,6,military
