origin_county,San Francisco,San Mateo,Santa Clara,Alameda,Contra Costa,Solano,Napa,Sonoma,Marin,San Joaquin
San Francisco,71924.65384615384,13416.846153846154,2525.3076923076924,6842.807692307692,2939.0,346.6923076923077,65.65384615384616,214.23076923076923,4069.8076923076924,100.76923076923077
San Mateo,13248.076923076924,102514.57692307692,17080.923076923078,6807.2692307692305,1031.423076923077,81.15384615384616,12.307692307692308,45.23076923076923,608.8846153846154,49.11538461538461
Santa Clara,2496.423076923077,17102.423076923078,381488.1923076923,15869.461538461539,1393.2692307692307,22.307692307692307,0.5,2.0,39.73076923076923,788.1923076923077
Alameda,6772.807692307692,6753.2692307692305,15839.807692307691,252214.5,22076.23076923077,1708.8076923076924,281.84615384615387,291.1923076923077,1640.576923076923,3719.1923076923076
Contra Costa,3026.0,1031.9615384615386,1459.3461538461538,21836.653846153848,159848.38461538462,5177.307692307692,522.3846153846154,247.19230769230768,1955.0,1708.9615384615386
Solano,357.7307692307692,80.88461538461539,22.115384615384617,1745.6923076923076,5080.2692307692305,66162.65384615384,2904.5384615384614,518.9615384615385,631.5769230769231,29.615384615384617
Napa,76.46153846153847,12.423076923076923,0.5,284.03846153846155,529.4615384615385,2879.8076923076924,21713.23076923077,1553.4615384615386,209.92307692307693,
Sonoma,227.84615384615384,42.73076923076923,2.0,288.5,253.34615384615384,519.8846153846154,1533.2307692307693,96262.30769230769,2575.3846153846152,
Marin,4039.769230769231,578.8846153846154,42.23076923076923,1709.1153846153845,1939.076923076923,610.4230769230769,201.53846153846155,2584.153846153846,41255.769230769234,2.5
San Joaquin,103.57692307692308,52.11538461538461,762.0,3732.423076923077,1708.8461538461538,30.423076923076923,,,4.5,103911.53846153847
Total Trips,102273.34615384616,141586.11538461538,419222.42307692306,311330.46153846156,196799.3076923077,77539.46153846153,27235.23076923077,101718.73076923077,52991.153846153844,110309.88461538461
