"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Bike","Trip Mode","Auto 3+ Person (Free)      ","Share of Trips",0
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Bike","Trip Mode","Bike/Moped","Share of Trips",0.993925008559734
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Bike","Trip Mode","Walk","Share of Trips",0.00607499144026556
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Drive Alone","Trip Mode","Auto SOV (Free)            ","Share of Trips",0.989761454445531
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Drive Alone","Trip Mode","Other","Share of Trips",0.000304220067014305
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Drive Alone","Trip Mode","Walk","Share of Trips",0.0099343254874547
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Other","Trip Mode","Other","Share of Trips",0.775214624924476
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Other","Trip Mode","Walk-UR","Share of Trips",0.224785375075524
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","PNR-Transit","Trip Mode","PNR-Bus","Share of Trips",1
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Shared 2 Free","Trip Mode","Auto 2 Person (Free)       ","Share of Trips",0.810913699500724
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Shared 2 Free","Trip Mode","Auto SOV (Free)            ","Share of Trips",0.184531664669085
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Shared 2 Free","Trip Mode","PNR-UR","Share of Trips",0.00299064771850844
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Shared 2 Free","Trip Mode","Walk","Share of Trips",0.00156398811168271
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Shared 3 Free","Trip Mode","Auto 2 Person (Free)       ","Share of Trips",0.0583713724461477
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Shared 3 Free","Trip Mode","Auto 3+ Person (Free)      ","Share of Trips",0.764197971388036
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Shared 3 Free","Trip Mode","Auto SOV (Free)            ","Share of Trips",0.174629886525519
"CHTS","Share of At-Work trips by tour mode and trip mode","Tour Mode","Shared 3 Free","Trip Mode","Walk","Share of Trips",0.00280076964029657
