TAZ,PUMA,COUNTY,county_name,REGION
156,7507,1,San Francisco,1
157,7507,1,San Francisco,1
158,7507,1,San Francisco,1
159,7507,1,San Francisco,1
160,7507,1,San Francisco,1
161,7507,1,San Francisco,1
162,7507,1,San Francisco,1
163,7507,1,San Francisco,1
164,7506,1,San Francisco,1
165,7506,1,San Francisco,1
166,7506,1,San Francisco,1
167,7506,1,San Francisco,1
168,7506,1,San Francisco,1
169,7506,1,San Francisco,1
170,7506,1,San Francisco,1
171,7506,1,San Francisco,1
172,7505,1,San Francisco,1
173,7505,1,San Francisco,1
174,7505,1,San Francisco,1
175,7505,1,San Francisco,1
176,7505,1,San Francisco,1
177,7505,1,San Francisco,1
178,7505,1,San Francisco,1
179,7505,1,San Francisco,1
180,7505,1,San Francisco,1
181,7505,1,San Francisco,1
182,7505,1,San Francisco,1
183,7505,1,San Francisco,1
184,7505,1,San Francisco,1
185,7505,1,San Francisco,1
186,7506,1,San Francisco,1
187,7506,1,San Francisco,1
188,7506,1,San Francisco,1
189,7506,1,San Francisco,1
190,7506,1,San Francisco,1
191,8101,2,San Mateo,1
192,8101,2,San Mateo,1
193,8101,2,San Mateo,1
194,8101,2,San Mateo,1
195,8101,2,San Mateo,1
196,8101,2,San Mateo,1
197,8101,2,San Mateo,1
198,8101,2,San Mateo,1
199,8101,2,San Mateo,1
200,8101,2,San Mateo,1
201,8101,2,San Mateo,1
202,8101,2,San Mateo,1
203,8101,2,San Mateo,1
204,8101,2,San Mateo,1
205,8101,2,San Mateo,1
206,8102,2,San Mateo,1
207,8102,2,San Mateo,1
208,8102,2,San Mateo,1
209,8102,2,San Mateo,1
210,8102,2,San Mateo,1
211,8102,2,San Mateo,1
212,8102,2,San Mateo,1
213,8102,2,San Mateo,1
214,8102,2,San Mateo,1
215,8102,2,San Mateo,1
216,8102,2,San Mateo,1
217,8102,2,San Mateo,1
218,8101,2,San Mateo,1
219,8101,2,San Mateo,1
220,8101,2,San Mateo,1
221,8101,2,San Mateo,1
222,8101,2,San Mateo,1
223,8101,2,San Mateo,1
224,8101,2,San Mateo,1
225,8101,2,San Mateo,1
226,8101,2,San Mateo,1
227,8101,2,San Mateo,1
228,8102,2,San Mateo,1
229,8102,2,San Mateo,1
230,8102,2,San Mateo,1
231,8102,2,San Mateo,1
232,8102,2,San Mateo,1
233,8102,2,San Mateo,1
234,8102,2,San Mateo,1
235,8102,2,San Mateo,1
236,8102,2,San Mateo,1
237,8102,2,San Mateo,1
238,8102,2,San Mateo,1
239,8102,2,San Mateo,1
240,8103,2,San Mateo,1
241,8103,2,San Mateo,1
242,8103,2,San Mateo,1
243,8103,2,San Mateo,1
244,8103,2,San Mateo,1
245,8103,2,San Mateo,1
246,8103,2,San Mateo,1
247,8103,2,San Mateo,1
248,8103,2,San Mateo,1
249,8103,2,San Mateo,1
250,8103,2,San Mateo,1
251,8103,2,San Mateo,1
252,8103,2,San Mateo,1
253,8103,2,San Mateo,1
254,8103,2,San Mateo,1
255,8103,2,San Mateo,1
256,8103,2,San Mateo,1
257,8103,2,San Mateo,1
258,8103,2,San Mateo,1
259,8103,2,San Mateo,1
260,8103,2,San Mateo,1
261,8103,2,San Mateo,1
262,8103,2,San Mateo,1
263,8104,2,San Mateo,1
264,8104,2,San Mateo,1
265,8104,2,San Mateo,1
266,8104,2,San Mateo,1
267,8104,2,San Mateo,1
268,8104,2,San Mateo,1
269,8104,2,San Mateo,1
270,8104,2,San Mateo,1
271,8104,2,San Mateo,1
272,8104,2,San Mateo,1
273,8104,2,San Mateo,1
274,8104,2,San Mateo,1
275,8105,2,San Mateo,1
276,8104,2,San Mateo,1
277,8104,2,San Mateo,1
278,8104,2,San Mateo,1
279,8104,2,San Mateo,1
280,8104,2,San Mateo,1
281,8104,2,San Mateo,1
282,8104,2,San Mateo,1
283,8104,2,San Mateo,1
284,8104,2,San Mateo,1
285,8104,2,San Mateo,1
