Node,Station,TAZ
13655,Caltrain Fourth/Townsend,109
13656,Caltrain 22nd St.,113
13658,Caltrain Bayshore,149
13659,Caltrain South San Francisco,212
13660,Caltrain San Bruno,237
13661,Caltrain Millbrae,240
13663,Caltrain Burlingame,249
13664,Caltrain San Mateo,257
13665,Caltrain Hayward Park,279
13667,Caltrain Hillsdale,277
13668,Caltrain Belmont,286
13669,Caltrain San Carlos,309
13670,Caltrain Redwood City,315
13672,Caltrain Menlo Park,340
13673,Caltrain Palo Alto,356
13675,Caltrain California Avenue,351
13676,Caltrain San Antonio,380
13677,Caltrain Mountain View,378
13678,Caltrain Sunnyvale,450
13679,Caltrain Lawrence,443
13680,Caltrain Santa Clara,432
13681,Caltrain College Park,542
13682,Caltrain San Jose Diridon,538
13683,Caltrain Tamien,527
13684,Caltrain Capitol,566
13685,Caltrain Blossom Hill,661
13686,Caltrain Morgan Hill,702
13687,Caltrain San Martin,713
13688,Caltrain Gilroy,708
