ZONE,RES_UNITS,TOTHH,TOTEMP
1313,2167,1806,2569
1314,2776,2401,8155
1315,1127,789,2499
1316,797,558,983
1317,2319,2019,1986
1318,2536,2094,3630
1319,3536,3226,717
1320,2773,2396,2828
1321,2413,2229,269
1322,2437,2133,537
1323,4176,3744,4634
1324,1196,980,2437
1325,3222,3057,4200
1326,1821,1756,221
1327,2071,1965,1732
1328,1952,1810,1338
1329,1481,1385,1611
1330,1457,1396,728
1331,2104,1998,2052
1332,2145,1996,4091
1333,1394,1323,158
1334,1557,1519,415
1335,2739,2573,2161
1336,5219,5051,5412
1337,2995,2805,5915
1338,1542,1460,478
1339,2060,1976,693
1340,2430,2340,356
1341,1987,1861,400
1342,1514,1454,1862
1343,1655,1584,184
1344,2379,2271,2649
1345,1642,1559,387
1346,2124,2023,2169
1347,2026,1909,473
1348,3518,3263,4839
1349,2337,2181,660
1350,3133,2928,1748
1351,1403,1360,566
1352,1458,1413,144
1353,4040,3617,525
1354,3521,3235,962
1355,1574,1481,450
1356,3052,2870,864
1357,1753,1670,399
1358,3095,2916,2258
1359,2241,2136,4295
1360,1442,1327,582
1361,1052,980,6569
1362,1927,1834,1502
1363,1116,1021,9134
1364,1815,1728,487
1365,1968,1885,2875
1366,4452,4125,4446
1367,2222,2079,786
1368,1991,1908,7565
1369,2017,1971,3763
1370,3694,3457,1253
1371,1967,1885,403
1372,1583,1525,245
1373,2982,2745,2749
1374,2554,2426,4332
1375,2919,2799,1942
1376,2109,1997,2579
1377,2084,1946,639
1378,2634,2482,1658
1379,1447,1376,387
1380,2264,2131,5405
1381,3775,3510,4852
1382,2571,2409,1093
1383,2492,2219,1122
1384,2783,2630,3293
1385,1872,1719,285
1386,1740,1620,1889
1387,1950,1789,435
1388,1752,1575,456
1389,2574,1785,1079
1390,2827,1780,419
1391,2636,1855,833
1392,2389,1815,739
1393,1813,1551,903
1394,3360,2951,1315
1395,3169,3037,2964
1396,3820,3658,1426
1397,2463,2147,1297
1398,1706,1576,509
1399,1646,1454,4278
1400,1430,1099,1344
1401,1728,1402,2959
1402,4045,3701,2036
1403,4084,1973,423
1404,1103,1054,449
1405,1065,1022,2243
1406,707,666,1679
1407,2761,2560,5999
1408,2429,2340,682
1409,3166,3084,1644
1410,2132,2065,1143
1411,2672,2539,1510
1412,4259,4056,4899
1413,967,946,967
1414,2805,2704,454
1415,2017,1420,1565
1416,1388,892,478
1417,160,146,76
1418,1762,1626,441
1419,1430,1365,528
1420,2874,2762,709
1421,3275,3122,7368
1422,2529,2472,1567
1423,2421,2363,561
1424,2167,1974,6341
1425,2217,2122,1914
1426,2287,2220,655
1427,2481,2335,3462
1428,3083,2966,7553
1429,1945,1836,1888
1430,2831,2646,5041
1431,3789,3560,1034
1432,2189,2051,2205
1433,1390,1308,411
1434,2467,2318,811
1435,889,802,14
1436,2029,1869,2261
1437,3322,3134,3602
1438,2676,2417,7485
1439,0,0,0
1440,3019,2827,1778
1441,2313,2197,3492
1442,2559,2352,1969
1443,2142,2052,1637
1444,2086,1912,912
1445,2400,2270,494
1446,2706,2447,1432
1447,1046,929,348
1448,4858,4405,5593
1449,1041,946,208
1450,2966,2813,745
1451,2051,1925,431
1452,2159,1988,1707
1453,315,264,440
1454,1807,1069,646
