ZONE,RES_UNITS,TOTHH,TOTEMP
355,2117,1865,15097
356,4435,4089,14105
357,1866,1777,463
358,1962,1896,703
359,1455,1373,357
360,2101,2032,420
361,2489,2397,733
362,2223,1948,5579
363,1063,1031,728
364,726,708,530
365,1704,1602,1402
366,2098,1966,3004
367,2467,2376,1881
368,1521,1427,941
369,1966,1871,670
370,1765,1648,3328
371,1210,1167,1406
372,2610,2487,4072
373,1250,1212,514
374,1322,1210,5427
375,1924,1837,299
376,1906,1812,1823
377,2558,2263,2155
378,1374,1283,6124
379,2379,2247,511
380,2159,2030,246
381,2302,2189,2366
382,1124,1073,294
383,764,746,4422
384,1560,1497,563
385,981,943,292
386,1065,1034,117
387,1340,1290,355
388,2136,2083,1950
389,1928,1865,1291
390,1504,1453,294
391,3216,3000,1362
392,2029,1902,230
393,1806,1734,472
394,1415,1361,1374
395,2353,2231,5174
396,4,4,4563
397,665,646,1797
398,1300,1248,1048
399,1,1,6660
400,1982,1851,214
401,365,346,26500
402,188,182,3035
403,15,15,18305
404,616,581,6378
405,6,5,4854
406,19,19,6321
407,96,96,11803
408,4,4,8997
409,0,0,7924
410,1889,1831,4371
411,0,0,740
412,5174,4923,24836
413,4176,3962,1203
414,995,960,8035
415,711,690,13616
416,3032,2859,2260
417,0,0,5425
418,683,651,3142
419,1114,1084,257
420,765,741,252
421,2375,2282,449
422,2548,2467,1141
423,1733,1659,227
424,2565,2459,837
425,1473,1395,328
426,1537,1463,7613
427,116,97,11257
428,710,661,8869
429,0,0,6719
430,7,6,6858
431,7,6,7023
432,143,137,12037
433,2164,1954,2756
434,37,35,2293
435,1444,1374,12648
436,1651,1598,852
437,2196,2101,358
438,1481,1427,518
439,1160,1125,758
440,2775,2637,639
441,2557,2375,1097
442,1085,1058,348
443,1373,1323,517
444,2114,2042,1613
445,3405,3217,954
446,3167,2993,694
447,2024,1906,295
448,3321,3134,1228
449,2935,2754,1526
450,1850,1756,3246
451,2370,2291,984
452,1079,1038,1095
453,2612,2532,1543
454,1567,1534,1422
455,927,917,742
456,3091,2950,1128
457,1847,1792,470
458,1496,1453,123
459,2894,2794,1119
460,1310,1259,8465
461,1738,1701,335
462,1702,1641,1294
463,1606,1540,653
464,1901,1839,393
465,3187,3047,2300
466,1597,1513,6352
467,2162,1915,5919
468,2331,2217,1172
469,2596,2500,1125
470,2559,2487,1028
471,2428,2327,2314
472,2160,2071,1240
473,2591,2490,880
474,1578,1528,540
475,1770,1693,1966
476,2637,2505,2172
477,2169,2109,705
478,2532,2418,2931
479,2939,2827,1537
480,1114,1095,842
481,1634,1619,365
482,1449,1425,127
483,2211,2108,1092
484,2853,2732,5247
485,2364,2286,10618
486,1951,1869,2215
487,2296,2118,948
488,2795,2724,824
489,2092,2055,583
490,1412,1377,4548
491,1053,1029,620
492,1822,1760,679
493,1955,1923,651
494,2042,1984,1093
495,2061,1967,416
496,1091,1018,1001
497,2551,2462,2592
498,1526,1465,1826
499,2643,2564,1502
500,1381,1349,137
501,1421,1399,213
502,1704,1642,1017
503,2594,2474,1883
504,2197,2077,7596
505,2150,2039,204
506,1463,1411,1169
507,1961,1873,639
508,1203,1130,3135
509,1377,1298,2169
510,1038,984,286
511,3290,2964,4949
512,1731,1619,341
513,1080,1018,275
514,2739,2656,1116
515,2466,2388,488
516,1372,1346,169
517,1947,1903,871
518,2311,2247,2446
519,3257,3131,7017
520,1413,1390,993
521,2020,1947,2513
522,2286,2193,631
523,2716,2575,1144
524,1962,1917,139
525,1635,1584,439
526,2525,2438,900
527,2921,2814,1236
528,2692,2584,1197
529,1259,1168,904
530,3397,3224,5075
531,1461,1379,5820
532,2832,2670,597
533,2704,2599,1769
534,1974,1898,1997
535,2105,1980,1378
536,1653,1534,841
537,2379,2108,2850
538,1143,1081,682
539,169,151,4309
540,2226,2073,3219
541,2079,1979,3136
542,1010,950,1969
543,1517,1436,4300
544,2395,2272,1013
545,1373,1277,2534
546,2135,1999,25432
547,2198,2078,4936
548,3225,3040,789
549,2190,1986,3047
550,1438,1364,373
551,1898,1802,1183
552,1180,1135,894
553,1123,1086,317
554,1427,1348,482
555,2649,2476,1048
556,679,629,57
557,2226,1911,9016
558,1881,1305,16077
559,1766,1681,442
560,1302,1227,2258
561,1520,1455,844
562,1337,1276,729
563,4401,4182,13232
564,2844,2739,1201
565,2222,2129,1398
566,2595,2477,717
567,2128,2092,1269
568,2202,2132,583
569,1059,1014,87
570,1137,1102,468
571,869,844,129
572,957,926,417
573,1022,989,90
574,1233,1189,243
575,950,926,621
576,1125,1100,472
577,1096,1063,222
578,2409,2340,502
579,771,756,1381
580,1104,1062,746
581,1184,1127,661
582,1822,1758,1728
583,1459,1415,4071
584,890,864,611
585,946,915,481
586,1197,1157,621
587,380,372,194
588,1269,1237,292
589,1337,1292,404
590,899,887,1142
591,1964,1900,758
592,1285,1246,293
593,891,849,2221
594,1404,1337,479
595,2479,2292,3253
596,735,724,847
597,1403,1360,847
598,2017,1982,1451
599,1401,1364,182
600,1222,1189,269
601,2355,2296,936
602,680,660,3883
603,81,64,4702
604,901,838,4225
605,3951,3804,13159
606,1310,1258,2628
607,2182,2082,5197
608,567,555,9192
609,1533,1475,1891
610,668,648,490
611,1694,1654,1171
612,2201,2105,1863
613,1015,997,654
614,1344,1316,696
615,1383,1337,241
616,1297,1272,675
