ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
371,8,8,3,1198,3261,3261,1417,1128,132,208,240,253,497,421,372,49,0.278,2015,176,610,699,1073,703,160,713,714,306,2,120,0,0,4,0,0,0,3,1.23588,0,1198,371,0
372,8,8,3,2725,6688,6702,3489,731,2205,1119,594,535,477,256,87.17859,166,0.144,2926,492,1170,3060,1260,720,975,575,622,656,0,98,0,0,3,0,0,0,3,1.84808,0,2725,372,14
373,8,8,3,1226,3025,3032,1641,995,259,407,248,260,311,266,190,61,0.189,750,196,420,1035,969,412,364,73,200,95,0,18,0,0,4,0,0,0,3,1.23311,0,1226,373,7
374,8,8,3,1322,3148,3148,1677,306,1119,352,393,267,310,386,160.0513,227,0.102,5561,172,463,1563,743,207,875,1093,700,1742,1,1150,0,0,2,0,301.38934,0,3,1.65385,0,1322,374,0
375,8,8,3,1979,4010,4027,1863,519,1535,869,444,345,321,150,131,6,0.268,169,180,403,1609,965,870,28,81,5,49,0,6,0,0,4,0,0,0,3,1.4551,0,1979,375,17
376,8,8,3,1809,4488,4503,2275,968,943,527,478,423,381,377,257,100,0.171,1615,226,672,1788,1265,552,432,407,257,129,7,383,0,0,4,0,0,0,3,1.3082,0,1809,376,15
377,8,8,3,2402,4917,4919,2864,876,1868,689,644,560,509,400,266.82248,129,0.148,1189,246,519,2218,1438,498,121,377,222,279,3,187,0,0,4,0,0,0,3,1.23976,0,2402,377,2
378,8,8,3,1492,3042,3069,1876,548,1081,505,341,326,320,248,151.21446,82,0.111,5750,174,291,1638,740,226,215,2037,1875,1443,0,180,0,0,3,0,0,0,3,2.18179,0,1492,378,27
379,8,8,3,2201,5463,5489,2896,761,1683,589,643,550,419,240,191.80243,33,0.092,572,372,851,2832,1101,333,85,129,251,82,0,25,0,0,3,180.8378,0,0,3,1.42591,0,2201,379,26
380,8,8,3,2071,5260,5260,2355,7,2258,694,619,423,335,129,80.93222,19,0.083,196,350,660,2959,1009,282,27,39,95,26,0,9,0,0,3,0,0,0,3,1.88543,0,2071,380,0
381,8,8,3,2227,5395,5399,2537,1525,857,582,574,437,634,421,396.96149,18,0.208,1625,344,834,1833,1547,841,276,324,675,301,0,49,0,0,4,0,0,0,3,1.28893,0,2227,381,4
382,8,8,3,1079,2684,2704,1241,838,311,235,282,230,332,223,168,30,0.219,336,148,413,927,768,448,51,93,150,42,0,0,0,0,4,0,0,0,3,1.20476,0,1079,382,20
383,8,8,3,722,1863,1885,702,716,53,121,154,161,286,330,234,59,0.39,3040,84,295,390,498,618,188,258,2101,434,1,58,0,0,4,1722.0177,0,0,3,1.45328,0,722,383,22
384,8,8,3,1507,4388,4389,1886,1576,12,215,280,280,732,637,618,17,0.233,779,276,851,942,1568,752,31,200,374,134,0,40,0,0,4,0,0,0,2,1.06876,0,1507,384,1
385,8,8,3,938,2688,2688,1206,983,0,117,164,168,489,631,503,5,0.234,513,144,485,555,1048,456,22,223,90,152,0,26,0,0,5,0,0,0,1,1.03162,0,938,385,0
386,8,8,3,1093,3010,3010,1240,1134,0,127,159,224,583,476,360,15,0.289,238,156,551,536,1097,670,5,105,53,31,37,7,0,0,4,0,0,0,1,1.06249,0,1093,386,0
387,8,8,3,1271,3588,3597,1510,1318,26,177,264,235,595,461,442,10,0.229,693,211,696,808,1276,606,87,205,162,211,3,25,0,0,4,0,0,0,3,1.09988,0,1271,387,9
388,8,8,3,2078,5992,6141,2416,2164,27,278,357,430,1013,879,762,100,0.263,2429,318,1224,1281,2080,1238,67,609,1413,219,1,120,0,0,4,1548.18835,0,0,3,1.14071,0,2078,388,149
389,8,8,3,1831,4728,4831,1887,1426,490,519,324,357,631,566,420,95,0.306,1666,236,831,1017,1579,1168,438,241,564,352,0,71,0,0,4,0,0,0,3,1.19736,0,1831,389,103
390,8,8,3,1399,3031,3031,1589,774,732,322,403,313,361,267,155,86,0.17,812,183,403,1331,734,380,239,143,181,164,0,85,0,0,3,0,0,0,3,1.25801,0,1399,390,0
391,9,9,3,3096,6643,6645,3608,855,2585,815,717,722,842,374,280.0947,37,0.185,1348,320,616,2967,1838,904,501,227,349,191,0,80,0,0,4,0,0,0,3,1.43974,0,3096,391,2
392,9,9,3,1808,4682,4682,2430,0,2029,340,519,530,419,99,79,17,0.047,271,395,637,2774,755,121,30,60,93,74,0,14,0,0,4,0,0,0,3,1.85605,0,1808,392,0
393,9,9,3,1813,4372,4389,2377,646,1325,541,474,435,363,241,185.09615,54,0.165,976,287,633,1888,1048,533,111,174,432,116,0,143,0,0,4,0,0,0,3,1.38785,0,1813,393,17
394,9,9,3,1409,3731,3821,1631,1211,330,483,370,272,284,334,205.16771,86,0.222,3839,232,583,1355,999,652,88,284,549,2816,2,100,0,0,3,0,0,0,3,1.68875,0,1409,394,90
395,9,9,3,2172,4696,4696,2754,623,1731,467,494,540,671,392.29999,217,198.84868,0.099,3866,313,467,2537,1078,301,154,812,423,1219,3,1255,0,0,3,0,0,0,3,1.49041,0,2172,395,0
396,9,9,3,4,8,9,3,1,3,0,0,1,3,377.5,2,244.09274,0.099,2642,1,1,4,2,1,177,770,256,392,4,1043,0,0,2,0,0,0,3,1.35891,0,4,396,1
397,9,9,3,621,1436,1437,778,360,307,126,149,154,192,307.39999,56,239,0.079,3798,94,154,772,354,63,319,573,96,493,4,2313,0,0,3,0,0,0,3,1.53374,0,621,397,1
398,9,9,3,1187,2742,2742,1504,696,597,236,288,325,338,215.7,95,102,0.079,1460,180,294,1471,674,123,72,270,451,442,2,223,0,0,4,0,0,0,3,1.45456,0,1187,398,0
399,9,9,3,0,0,0,0,0,0,0,0,0,0,318.29999,0,287,0.104,5907,0,0,0,0,0,65,3472,146,873,4,1347,0,0,3,0,0,0,3,1.78095,0,0,399,0
400,9,9,3,1877,4369,4369,2231,734,1287,537,593,390,357,247.39999,251.39874,6,0.104,314,270,752,1913,1150,284,48,106,115,34,0,11,0,0,4,0,0,0,3,1.24124,0,1877,400,0
401,9,9,3,305,725,726,340,0,365,109,98,61,37,6909,236,805,0.193,11679,57,170,233,158,108,222,3804,1301,3225,17,3110,0,0,3,0,0,38.15102,3,1.391,0,305,401,1
402,9,9,3,176,700,700,224,104,84,24,87,45,20,1592,32,1346,6E-3,3079,65,120,475,40,0,2,604,283,2086,4,100,0,0,4,0,0,0,3,1.00206,0,176,402,0
403,9,9,3,15,0,0,0,8,7,12,3,0,0,1090.59998,0,1050,0.117,14207,0,0,0,0,0,28,3341,1387,1093,19,8339,0,0,3,0,260.37656,163.09425,3,1.47825,0,15,403,0
404,9,9,3,566,2026,2033,1036,506,114,161,167,134,104,9805.7002,241,162,0.117,5562,159,578,685,448,163,34,1224,376,1419,7,2502,0,0,3,0,0,0,3,1.57651,0,566,404,7
405,9,9,3,6,21,21,7,4,2,2,3,0,1,3422.80005,11,459.27246,0.117,3160,2,6,7,4,2,456,413,571,618,6,1096,0,0,4,0,0,0,3,1.18664,0,6,405,0
406,9,9,3,763,0,0,0,13,753,760,2,1,0,777.29999,7.64054,472,0.071,8008,0,0,0,0,0,166,1416,855,583,14,4974,0,0,3,0,0,0,3,1.61413,0,763,406,0
407,9,9,3,92,0,0,0,68,28,88,4,0,0,1014.20001,0,892,0.071,14786,0,0,0,0,0,873,2016,1440,3391,31,7035,0,0,2,0,0,0,3,1.609,0,92,407,0
408,9,9,3,4,8,8,5,1,3,1,1,1,1,591.79999,3,515.88464,0.071,11345,0,0,6,2,0,172,4236,1303,2684,75,2875,0,0,2,0,0,0,3,1.83627,0,4,408,0
409,9,9,3,0,0,0,0,0,0,0,0,0,0,568.59998,0,472,0.071,10322,0,0,0,0,0,93,2199,759,1601,20,5650,0,0,1,0,0,0,3,1.83619,0,0,409,0
410,9,9,3,5049,10106,10124,6299,26,5203,3556,351,517,625,560.40002,177.7373,315,0.071,10627,550,385,6224,2590,375,20,886,302,2507,19,6893,0,0,3,0,0,0,3,2.17606,0,5049,410,18
411,9,9,3,0,0,0,0,0,0,0,0,0,0,273.5,0,60,0.078,1495,0,0,0,0,0,0,176,45,27,3,1244,0,0,3,0,0,0,3,1.96704,0,0,411,0
412,9,9,3,7820,18409,18410,10154,956,7258,4411,1257,1137,1015,1016.59998,346.9769,694,0.078,22030,1524,3569,7947,4574,796,412,2962,689,2407,40,15520,0,0,3,0,606.5976,42.91756,3,2.10957,0,7820,412,1
413,9,9,3,3839,9288,9297,4002,132,4079,801,833,1308,897,339,91,237,0.025,1329,708,602,6712,1187,88,137,498,397,94,1,202,0,0,4,0,0,0,3,1.55806,0,3839,413,9
414,9,9,3,941,3604,4035,1523,771,246,167,247,258,269,724,165,501,0.19,7717,215,901,1268,1080,571,289,1260,697,1870,13,3588,0,0,3,0,0,0,3,1.49886,0,941,414,431
415,9,9,3,586,1631,1634,880,422,230,106,126,162,192,1169.40002,115,929.81415,0.113,15717,111,272,703,427,121,762,5656,2165,2037,42,5055,0,0,4,0,1719.63928,7663.51514,3,1.57003,0,586,415,3
416,9,9,3,2797,7789,7796,4182,2010,1097,624,584,689,900,832.90002,283,242.25078,0.113,4833,529,1296,3359,2037,575,138,1163,857,1998,10,667,0,0,1,0,0,0,3,1.54727,0,2797,416,7
417,9,9,3,0,0,0,0,0,0,0,0,0,0,236.89999,0,183,0.113,5630,0,0,0,0,0,1,1878,236,297,17,3201,0,0,2,0,0,0,3,2.2181,0,0,417,0
418,9,9,3,531,1599,1601,680,273,340,119,112,160,140,268.79999,124,111,0.161,2940,105,278,585,451,182,88,548,174,389,8,1733,0,0,3,0,0,0,3,1.55146,0,531,418,2
419,9,9,3,1106,3326,3334,1450,540,671,257,255,352,242,199.89999,145,47,0.161,394,221,579,1216,936,382,54,51,250,22,0,17,0,0,3,0,0,0,3,1.28368,0,1106,419,8
420,9,9,3,831,3223,3246,1473,850,43,186,211,240,194,197,153,25,0.133,367,228,743,1100,884,291,89,38,123,104,0,13,0,0,4,0,0,0,3,1.29906,0,831,420,23
421,9,9,3,2820,6587,6587,2851,101,2993,1409,550,455,406,354,285.81042,52,0.308,165,282,751,1704,2250,1600,51,30,55,23,0,6,0,0,4,0,0,0,3,1.25321,0,2820,421,0
422,9,9,3,2868,6738,6738,3146,572,2504,1326,578,548,416,341,152.04036,134,0.219,1380,382,649,3049,1499,1159,83,261,296,166,6,568,0,0,4,0,0,0,3,1.50901,0,2868,422,0
423,9,9,3,1606,5140,5141,2289,763,983,405,460,410,331,231,160,68,0.124,258,318,1069,2016,1309,429,77,50,88,25,0,18,0,0,4,0,0,0,3,1.33317,0,1606,423,1
424,9,9,3,2380,7189,7220,3401,1375,1221,617,722,592,449,378,263,106,0.12,1097,594,1407,2935,1694,590,91,368,345,167,1,125,0,0,4,0,0,0,3,1.36101,0,2380,424,31
425,9,9,3,1367,3706,3715,1921,525,957,343,412,335,277,166,122,44,0.088,398,293,602,1908,696,216,116,65,120,84,1,12,0,0,4,0,0,0,3,1.38462,0,1367,425,9
426,9,9,3,1766,4100,4179,2172,429,1454,631,395,406,334,324.29999,81.27168,155,0.088,1760,304,521,2265,854,235,234,125,69,148,1,1183,0,0,3,0,0,0,3,1.5209,0,1766,426,79
427,9,9,3,1015,2370,2377,1233,26,1010,945,19,26,25,726.40002,71.10944,756,0.088,8063,173,294,1286,488,136,963,2294,525,1080,4,3197,0,0,2,409.50012,0,0,3,1.36524,0,1015,427,7
428,9,9,3,606,1403,1424,733,190,520,109,165,171,161,426.20001,53,347,0.088,8960,104,178,772,290,80,337,3819,1302,1136,16,2350,0,0,3,0,0,0,3,1.92013,0,606,428,21
429,9,9,3,0,0,0,0,0,0,0,0,0,0,388,0,396.59689,0.183,6771,0,0,0,0,0,50,1294,770,440,14,4203,0,0,3,0,0,0,3,1.63031,0,0,429,0
430,9,9,3,6,15,16,5,2,5,4,1,1,0,552.40002,16,517,0.183,10755,1,3,6,3,3,103,2589,522,1656,18,5867,0,0,2,0,0,0,3,1.76414,0,6,430,1
431,9,9,3,1,6,6,2,1,0,1,0,0,0,312.79999,16,287,0.183,5036,0,1,2,2,1,71,1788,169,1003,5,2000,0,0,3,0,0,0,3,1.61124,0,1,431,0
432,9,9,3,112,316,317,132,38,90,37,29,28,18,826.20001,99,708,0.183,14888,24,57,129,62,45,686,5586,812,2562,64,5178,0,0,1,0,0,0,3,1.69612,0,112,432,1
433,9,9,3,1942,5503,5514,2308,658,1521,666,565,435,276,229.5,197,19,0.183,1144,417,994,2239,1080,784,60,280,267,409,11,117,0,0,4,0,0,0,3,1.56312,0,1942,433,11
434,9,9,3,35,77,78,42,24,13,8,13,6,8,1206.09998,6,992,0.198,2153,5,15,30,16,12,142,342,322,445,1,901,0,0,4,0,0,0,3,0.99137,0,35,434,1
435,9,9,3,2248,4846,4855,2705,895,1512,1384,317,314,233,517.40002,137.83942,331,0.198,17305,315,909,1898,980,753,211,8233,3374,2875,113,2499,0,0,3,0,0,0,3,2.65971,0,2248,435,9
436,9,9,3,1543,3793,3812,1643,1188,499,418,433,369,323,337,275,60,0.261,1493,217,574,1265,964,792,92,76,1093,206,0,26,0,0,4,0,0,0,3,1.28413,0,1543,436,19
437,9,9,3,2019,5741,5741,2600,906,1318,491,589,549,390,265,194,53,0.134,339,450,1006,2441,1298,546,137,71,38,43,0,50,0,0,4,0,0,0,3,1.35544,0,2019,437,0
438,9,9,3,1549,4404,4409,2019,1227,417,535,382,336,296,352,244.9534,91,0.191,630,244,836,1451,1255,623,108,92,353,59,0,18,0,0,4,0,0,0,3,1.20327,0,1549,438,5
439,9,9,3,1082,2919,2931,1350,828,354,268,301,260,253,267,154,44,0.18,948,183,462,1024,884,378,177,41,440,190,50,50,0,0,4,0,0,0,3,1.35714,0,1082,439,12
440,9,9,3,2566,6457,6463,3057,797,2004,546,735,771,514,337,252,80,0.118,2341,452,972,3000,1522,517,121,249,1779,135,1,56,0,0,3,1907.52075,0,0,3,1.53438,0,2566,440,6
441,9,9,3,2347,5927,5927,2897,853,1727,623,604,602,518,292,230,51,0.152,1237,381,848,2797,1228,673,126,186,293,597,0,35,0,0,3,0,0,0,3,1.44857,0,2347,441,0
442,9,9,3,1030,3154,3168,1484,1111,12,230,277,257,266,246,184,57,0.199,415,169,530,1012,1000,457,78,151,131,42,0,13,0,0,4,2175.85913,0,0,3,1.19706,0,1030,442,14
443,9,9,3,1288,4332,4338,1881,926,484,295,420,327,246,230,176,53,0.121,312,286,937,1609,1159,347,36,42,110,108,0,16,0,0,4,0,0,0,3,1.28118,0,1288,443,6
444,9,9,3,2266,6168,6178,2975,1532,894,665,536,566,499,378,261.42572,107,0.195,1221,412,951,2342,1566,907,162,170,640,171,18,60,0,0,4,400.16953,0,0,3,1.32762,0,2266,444,10
445,9,9,3,3101,8123,8123,3680,913,2515,801,872,711,717,349,277,60,0.126,863,619,1116,3683,2005,700,223,201,350,68,0,21,0,0,4,0,0,0,3,1.42124,0,3101,445,0
446,9,9,3,3128,7968,7968,4050,982,2401,892,870,636,730,372,308.20541,64,0.108,431,566,1101,3809,1931,561,92,130,27,94,0,88,0,0,4,0,0,0,3,1.31472,0,3128,446,0
447,9,9,3,1855,4304,4305,2348,1079,962,317,418,556,564,286,206,39,0.168,547,268,560,1774,1183,520,180,153,94,69,0,51,0,0,4,0,0,0,3,1.29498,0,1855,447,1
448,9,9,3,3199,7906,7914,3657,578,2879,1052,735,754,658,304,179.64613,98,0.131,1400,579,873,4271,1419,772,490,210,498,183,0,19,0,0,4,0,0,0,3,1.60332,0,3199,448,8
449,9,9,3,2721,6392,6474,2890,960,1985,670,671,701,679,360,280,76,0.17,1978,404,671,3000,1588,811,753,279,741,150,7,48,0,0,4,0,0,0,3,1.4482,0,2721,449,82
450,9,9,3,2377,5228,5231,2448,957,1541,1223,417,383,354,333,163.53107,169,0.221,2893,275,520,2240,1295,901,463,735,877,336,2,480,0,0,3,0,0,0,3,1.541,0,2377,450,3
451,9,9,3,2289,6053,6058,2590,1815,695,504,537,537,711,464,415.34967,30,0.207,1065,354,1051,1825,1907,921,476,165,251,80,24,69,0,0,4,0,0,0,3,1.23365,0,2289,451,5
452,9,9,3,1029,2690,2812,1226,1061,36,150,227,238,414,321,240,81,0.309,1051,150,379,690,902,691,47,88,804,80,0,32,0,0,4,2143.19116,0,0,3,1.18839,0,1029,452,122
453,9,9,3,2450,6546,6661,3040,1956,697,503,591,633,723,615,542,43,0.241,1924,420,1013,2127,1857,1244,381,182,628,205,0,528,0,0,4,0,0,0,3,1.23412,0,2450,453,115
454,9,9,3,1502,4185,4351,1738,1419,174,241,297,330,634,478,412,44,0.266,951,239,844,1011,1361,896,71,290,479,93,1,17,0,0,4,0,0,0,3,1.15079,0,1502,454,166
455,9,9,3,882,2477,2481,1046,930,12,138,198,175,371,304,274,26,0.267,1529,131,484,546,808,512,190,141,533,254,0,411,0,0,4,0,0,0,3,1.25821,0,882,455,4
456,9,9,3,3003,8135,8163,3630,1204,1912,975,665,659,704,320,262,47,0.134,480,573,1587,3195,2053,755,68,178,119,54,0,61,0,0,4,0,0,0,3,1.41772,0,3003,456,28
457,9,9,3,1720,4991,4999,2110,1538,340,304,418,389,609,382,314,53,0.189,600,338,892,1564,1520,685,71,156,277,80,0,16,0,0,4,0,0,0,3,1.20149,0,1720,457,8
458,9,9,3,1408,4089,4089,1630,1002,512,264,363,320,461,248,218,19,0.165,264,309,720,1524,1045,491,62,85,72,19,0,26,0,0,4,0,0,0,3,1.24149,0,1408,458,0
459,9,9,3,2719,7517,7531,3485,2136,799,554,548,716,901,640,510,125,0.187,1285,525,1136,2727,2105,1038,306,276,470,156,12,65,0,0,4,0,0,0,3,1.18793,0,2719,459,14
460,10,10,3,1386,3679,3681,1539,682,841,367,320,314,385,667,150.31958,437,0.157,5161,300,542,1548,867,424,202,545,342,144,12,3916,0,0,3,0,0,0,3,1.38226,0,1386,460,2
461,10,10,3,1635,4441,4466,2046,1509,279,279,440,461,455,370,311,47,0.229,702,244,779,1366,1299,778,72,162,399,57,1,11,0,0,4,0,0,0,3,1.1958,0,1635,461,25
462,10,10,3,1574,4505,4538,1891,1376,373,325,381,441,427,378,259,109,0.187,1742,288,833,1518,1278,621,854,337,189,317,0,45,0,0,4,0,0,0,3,1.31237,0,1574,462,33
463,10,10,3,1497,3727,3727,1795,1042,595,300,385,416,396,280,227,48,0.221,905,165,523,1256,1165,618,323,281,189,93,2,17,0,0,4,0,0,0,3,1.2714,0,1497,463,0
464,10,10,3,1797,4515,4533,2008,1207,745,404,409,499,485,325,299,8,0.186,782,293,600,1752,1267,621,157,101,223,205,0,96,0,0,4,0,0,0,3,1.2603,0,1797,464,18
465,10,10,3,2950,6772,6904,3150,1579,1658,822,781,683,664,535,407,105,0.259,2790,393,932,2549,1596,1434,800,326,745,654,2,263,0,0,4,0,0,0,3,1.36288,0,2950,465,132
466,10,10,3,1499,3724,3732,1827,1331,289,415,398,356,330,415,289,115,0.212,3417,253,550,1322,1005,602,2078,338,720,169,1,111,0,0,4,0,0,0,3,1.41912,0,1499,466,8
467,10,10,3,2606,5975,5993,3054,1053,1874,1321,533,395,357,328,189.65906,96,0.164,4199,465,986,2456,1358,728,426,1489,1313,755,13,203,0,0,3,0,0,0,3,1.88867,0,2606,467,18
468,10,10,3,2120,5352,5527,2439,895,1441,644,649,442,385,352,258,83,0.161,1197,373,894,2325,1277,658,243,262,470,153,0,69,0,0,3,0,0,0,3,1.32642,0,2120,468,175
469,10,10,3,2416,7386,7506,3124,626,1950,879,718,550,269,211,178,33,0.115,1078,617,1493,3348,1434,614,171,228,537,120,0,22,0,0,3,0,0,0,3,1.72757,0,2416,469,120
470,10,10,3,2313,5982,5982,2810,1752,820,487,626,574,626,506,468,32,0.193,1153,399,1081,2119,1516,867,150,509,291,176,0,27,0,0,4,0,0,0,3,1.20184,0,2313,470,0
471,10,10,3,2190,4983,5058,2441,679,1753,647,625,531,387,367,252,62,0.189,1831,290,650,2201,1193,724,526,135,945,204,1,20,0,0,4,0,0,0,3,1.42434,0,2190,471,75
472,10,10,3,1965,4737,4737,2495,678,1487,534,597,467,367,272,188,82,0.091,1807,354,800,2268,1040,275,48,678,707,257,0,117,0,0,4,247.33397,0,0,3,1.48597,0,1965,472,0
473,10,10,3,2357,6845,6854,2741,770,1829,788,689,515,365,272,204,57,0.124,814,536,1490,2852,1367,609,22,225,227,201,0,139,0,0,4,0,0,0,3,1.48222,0,2357,473,9
474,10,10,3,1456,3772,3781,1927,870,716,344,461,332,319,251,217,34,0.124,303,269,752,1453,994,313,58,62,125,47,0,11,0,0,4,0,0,0,3,1.2079,0,1456,474,9
475,10,10,3,1614,4302,4302,1906,1083,688,493,447,398,276,388,246,122,0.167,2134,277,870,1523,1108,524,1117,194,569,209,0,45,0,0,4,0,0,0,3,1.34709,0,1614,475,0
476,10,10,3,2427,6571,6795,2835,1894,760,500,645,563,719,616,449,146,0.262,2238,423,1170,2030,1760,1412,348,405,717,625,7,136,0,0,4,0,0,0,3,1.25498,0,2427,476,224
477,10,10,3,1991,5755,5765,2491,1706,483,443,517,507,524,463,362,75,0.182,1090,372,1157,1909,1553,774,149,123,643,160,0,15,0,0,3,1701.0238,0,0,3,1.23102,0,1991,477,10
478,10,10,3,2302,5908,5908,2649,385,2151,555,639,623,485,266,168,28,0.09,2879,442,968,3005,1140,353,1236,751,400,397,3,92,0,0,3,0,0,0,3,2.04556,0,2302,478,0
479,10,10,3,2716,8013,8043,3477,1901,1038,531,644,668,873,542,438,101,0.118,1755,522,1762,3032,2098,629,59,867,565,114,3,147,0,0,4,1667.18469,0,0,3,1.29342,0,2716,479,30
480,10,10,3,1031,3192,3192,1355,1125,0,166,183,216,466,319,246,62,0.195,648,157,768,751,1073,443,29,134,301,46,0,138,0,0,4,0,0,0,3,1.16569,0,1031,480,0
481,10,10,3,1531,4597,4597,1941,1639,6,234,310,400,587,372,306,56,0.187,752,217,1092,1075,1615,598,149,131,226,194,0,52,0,0,4,1941.35986,0,0,3,1.20465,0,1531,481,0
482,10,10,3,1378,4338,4343,1804,1456,10,239,332,294,513,342,322,5,0.2,371,241,1029,1138,1297,638,29,97,81,133,0,31,0,0,4,0,0,0,3,1.17418,0,1378,482,5
483,10,10,3,2086,5763,5764,2418,1119,1105,494,418,525,649,354,169,115,0.155,1302,271,1305,1903,1665,620,204,502,396,123,0,77,0,0,4,0,0,0,3,1.44272,0,2086,483,1
484,10,10,3,2628,7122,7146,2704,1908,945,555,531,596,946,550,397,143,0.196,5508,485,1388,2307,1916,1050,103,965,1520,373,6,2541,0,0,3,0,0,0,3,1.56251,0,2628,484,24
485,10,10,3,2221,6581,6595,2548,1722,643,460,516,484,761,650,308,282,0.176,6024,466,1309,2189,1781,850,639,726,1769,911,7,1972,0,0,3,0,0,0,3,1.52766,0,2221,485,14
486,10,10,3,1850,5617,5617,2128,868,1171,321,435,439,655,462,307,107,0.115,1714,314,1407,1987,1489,420,521,406,460,169,11,147,0,0,3,0,0,0,3,1.30811,0,1850,486,0
487,10,10,3,2035,5474,5482,2149,1011,1181,458,503,511,563,524,294,73,0.157,1204,319,1074,1942,1543,604,242,200,549,164,2,47,0,0,3,2261.02686,0,0,2,1.29474,0,2035,487,8
488,10,10,3,2706,7429,7661,3137,2234,580,433,536,615,1122,1642,705,20,0.214,1192,338,1542,1962,2626,1193,31,284,543,183,48,103,0,0,4,0,0,0,1,1.14944,0,2706,488,232
489,10,10,3,1975,5931,5931,2645,2091,1,238,313,361,1063,1944,785,55,0.167,1191,260,1492,1260,2271,648,16,221,770,98,7,79,0,0,4,2482.69116,0,0,1,1.07952,0,1975,489,0
490,10,10,3,1330,3971,3971,1718,1255,142,228,217,262,623,651,392,210,0.177,2345,183,912,1016,1374,486,480,472,758,309,1,325,0,0,4,0,7084.57861,16760.53516,2,1.1779,0,1330,490,0
491,10,10,3,980,3087,3088,1085,824,229,193,258,206,323,244,211,13,0.169,648,151,816,824,927,370,266,112,134,71,1,64,0,0,4,0,0,0,2,1.25832,0,980,491,1
492,10,10,3,1712,5394,5395,2196,1549,273,267,361,412,672,419,372,5,0.153,862,264,1396,1515,1655,565,120,334,188,156,0,64,0,0,4,0,0,0,2,1.2413,0,1712,492,1
493,10,10,3,1845,5451,5456,2226,1941,15,248,270,346,981,808,635,77,0.228,975,242,1191,1142,1971,910,27,357,358,185,5,43,0,0,4,1719.68506,0,0,3,1.08778,0,1845,493,5
494,10,10,3,1942,5711,5713,2190,1971,85,249,322,349,1022,905,817,88,0.237,1212,254,1378,1086,1990,1005,200,471,342,148,6,45,0,0,4,1414.01392,0,0,2,1.0633,0,1942,494,2
495,10,10,3,1923,5465,5465,2283,1954,114,234,199,304,1186,3410,1358,26,0.215,908,230,1182,1055,2167,831,22,332,314,140,0,100,0,0,5,0,0,0,1,0.99338,0,1923,495,0
496,10,10,3,1018,2668,2742,1284,1012,84,49,86,172,711,2947,1297,33.40356,0.24,1398,110,510,530,1117,475,69,429,559,265,5,71,0,0,5,0,0,0,1,0.97792,0,1018,496,74
497,10,10,3,2437,6437,6532,2738,2385,178,475,332,421,1209,2097,1844,226,0.279,2423,291,1307,1194,2341,1399,21,374,1338,563,15,112,0,0,4,0,2884.1936,7235.26855,1,1.00185,0,2437,497,95
498,10,10,3,1424,3780,3804,1816,1412,115,253,285,257,629,570,413,83,0.227,1688,251,695,1045,1161,652,130,507,661,211,0,179,0,0,4,0,0,0,3,1.1752,0,1424,498,24
499,10,10,3,2489,7141,7154,3258,2219,447,596,543,636,714,606,504,91,0.151,2049,533,1474,2382,2014,751,503,461,767,208,1,109,0,0,4,0,0,0,3,1.25171,0,2489,499,13
500,10,10,3,1287,3798,3799,1900,1246,136,293,286,293,415,394,310,43,0.131,387,270,813,1236,1156,324,64,142,96,70,0,15,0,0,4,1960.02112,0,0,3,1.12928,0,1287,500,1
501,10,10,3,1300,3770,3812,1693,1341,90,250,273,348,429,323,301,9,0.187,264,242,730,1144,1185,511,49,80,84,37,3,11,0,0,4,0,0,0,3,1.14512,0,1300,501,42
502,10,10,3,1527,4161,4170,1926,911,794,360,446,398,323,302,258,44,0.169,602,282,755,1499,1126,508,196,97,196,94,0,19,0,0,4,0,0,0,3,1.22009,0,1527,502,9
503,10,10,3,2706,6252,6259,2802,841,2032,1261,656,487,302,415,306.23862,71,0.19,1955,385,1060,2456,1451,907,209,353,926,378,6,83,0,0,3,0,0,0,3,1.40478,0,2706,503,7
504,10,10,3,2033,4162,4165,2366,968,1320,589,613,457,374,723,222,337,0.136,8807,207,585,1781,1215,377,1004,2152,1147,2706,13,1785,0,0,2,0,0,0,3,1.70168,0,2033,504,3
505,10,10,3,1958,5281,5292,2717,1454,689,362,500,526,570,425,394,15,0.114,500,376,1105,2031,1385,395,69,136,77,144,0,74,0,0,4,0,0,0,3,1.17207,0,1958,505,11
506,10,10,3,1416,3634,3644,1721,1059,429,479,298,301,338,332,238,48,0.197,1921,191,648,1202,1077,526,51,185,1425,134,1,125,0,0,4,0,0,0,3,1.40454,0,1416,506,10
507,10,10,3,1877,4515,4516,2158,1719,312,347,353,367,810,817,625,62,0.247,1122,182,728,947,1848,811,81,261,230,155,3,392,0,0,4,0,0,0,1,1.0804,0,1877,507,1
