ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
29,1,1,1,3076,4680,5009,2792,0,3692,962,1018,622,474,37,15,4,0.184,2922,102,214,2582,1444,667,31,235,2490,151,1,14,235.2657,856.36719,0,0,0,0,1,5.28802,0,3076,29,329
30,1,1,1,4080,6901,7430,3735,0,4539,1749,1309,670,352,46,14,10,0.139,1992,332,676,3761,1949,712,118,229,807,779,1,58,104.20704,142.59911,1,0,0,0,1,4.42537,0,4080,30,529
31,1,1,1,2615,3881,3962,2142,10,2928,1228,775,365,247,32,8.53555,9,0.171,2101,129,245,2057,1035,496,62,827,1048,115,0,49,110.70161,151.48642,1,0,0,0,1,4.53049,0,2615,31,81
32,1,1,1,3020,5088,5111,3251,120,3269,1130,1006,462,422,58,21,13,0.212,2633,121,365,2417,1385,823,190,427,1631,299,0,86,95,130,1,0,0,0,1,4.43638,0,3020,32,23
33,1,1,1,2627,5148,5158,2962,127,2749,941,713,491,482,59,23.76161,9,0.206,1929,154,411,2413,1377,803,208,260,613,711,0,137,114.89341,123.35925,1,0,0,0,1,4.47388,0,2627,33,10
34,1,1,1,2735,4527,4528,2869,0,2914,742,726,545,722,60,29,4,0.22,689,103,171,2365,1119,770,215,111,270,67,0,26,82,102,1,0,0,0,1,4.32911,0,2735,34,1
35,1,1,1,2328,4590,4590,2569,111,2612,641,692,397,598,58,30,2,0.236,324,161,423,1899,1272,835,40,123,100,34,0,27,109,109,1,0,0,0,1,4.28851,0,2328,35,0
36,1,1,1,2759,5592,5592,1954,66,2963,1446,705,315,293,47,14,7,0.38,2520,195,528,1459,1646,1764,266,308,955,887,0,104,171,239,1,0,0,0,1,4.81786,0,2759,36,0
37,1,1,1,2066,4018,4019,2189,57,2231,756,602,421,287,43,12,8,0.223,2681,137,391,1557,1265,669,163,1109,904,301,2,202,171,239,1,0,385.87613,0,1,4.77033,0,2066,37,1
38,1,1,1,2483,4570,4584,2840,47,2845,586,645,624,628,83,37,6,0.201,2175,174,294,2000,1447,669,292,837,309,661,0,76,149.47981,617.11853,1,0,0,0,1,4.82245,0,2483,38,14
39,1,1,1,2047,3919,3919,2084,151,2190,495,546,491,515,67,31,6,0.238,312,154,273,1652,1123,717,74,88,70,74,0,6,109,450,2,0,501.91852,86.79562,1,3.54059,0,2047,39,0
40,1,1,1,2699,4420,4425,2703,0,2972,634,698,543,824,128,43,28,0.217,4917,123,136,2172,1273,721,994,386,1677,447,3,1410,159.46237,519.34991,2,2274.49146,0,0,1,4.34189,0,2699,40,5
41,1,1,1,2088,3747,3761,1916,111,2157,867,460,401,360,183,20,90,0.237,11368,97,259,1726,983,696,743,2767,5633,1144,1,1080,132.03354,661.37897,1,0,0,0,2,4.124,0,2088,41,14
42,1,1,1,1416,4742,5441,2586,144,1322,803,185,177,251,628,116.32432,484,0.019,1251,202,765,3871,570,33,7,89,203,881,1,70,0,0,3,0,0,0,2,1.1425,0,1416,42,699
43,2,2,1,3399,5550,5566,3470,411,3160,618,811,712,1258,199,57,5,0.184,2173,205,164,3179,1237,781,287,273,804,752,2,55,0,0,2,0,0,0,3,3.9435,0,3399,43,16
44,2,2,1,3786,6223,6304,4131,198,3719,775,1103,824,1084,136,56,14,0.176,1506,142,186,3822,1304,850,110,466,793,97,0,40,75,102,2,0,0,0,2,4.018,0,3786,44,81
45,2,2,1,2568,4340,4340,2940,127,2579,465,578,520,1005,93,40.19286,15,0.162,3631,142,150,2440,1099,509,455,743,990,1308,1,134,0,113.60798,1,0,0,0,1,5.07177,0,2568,45,0
46,2,2,1,4171,6691,6800,4353,80,4366,989,1028,869,1285,102,42,8,0.181,1407,174,256,3634,1836,900,88,351,660,268,0,40,75,102,1,0,0,0,1,4.3429,0,4171,46,109
47,2,2,1,1736,2721,2751,1667,18,1842,316,397,367,656,56,24,11,0.184,5007,104,101,1377,802,367,251,362,3437,894,1,62,0,128.94911,2,681.60077,0,0,1,8.38823,0,1736,47,30
48,2,2,1,2102,3802,3846,2432,185,1996,396,539,403,764,88,40,4,0.147,871,164,199,2046,1045,392,118,168,475,89,5,16,0,123,2,480.33685,0,0,1,3.24811,0,2102,48,44
