EXT_ZONE,TOTAL_2015
1455,2900
1456,1950
1457,14500
1458,8200
1459,2400
1460,23000
1461,43000
1462,133480
1463,22400
1464,14100
1465,9800
1466,12500
1467,155000
1468,33500
1469,13100
1470,23800
1471,56000
1472,6200
1473,57000
1474,3300
1475,4250
