EXT_ZONE,TOTAL_2015,TOTAL_2021
1455,2900,3838
1456,1950,2422
1457,14500,15109
1458,8200,8787
1459,2400,2415
1460,23000,26092
1461,43000,44057
1462,133480,137893
1463,22400,24055
1464,14100,16783
1465,9800,12061
1466,12500,13000
1467,155000,168753
1468,33500,36996
1469,13100,14352
1470,23800,26258
1471,56000,60652
1472,6200,6326
1473,57000,55375
1474,3300,2993
1475,4250,4318
