"A112214 - Vehicles available (6) by Household income in the past 12 months (2016 $) (9) (Households) - Large Geos Only"
"Current date: 7/6/2022 1:23:20 PM (Eastern Daylight Time)"
"RESIDENCE","Vehicles Available 6","Household Income in the Past 12 Months 2016 9","Output","Households",
"Alameda County, California","Total, vehicles available","Total, household income","Estimate","564,295"
"Alameda County, California","Total, vehicles available","Total, household income","Margin of Error","1,574"
"Alameda County, California","Total, vehicles available","Less than $15,000","Estimate","53,285"
"Alameda County, California","Total, vehicles available","Less than $15,000","Margin of Error","1,306"
"Alameda County, California","Total, vehicles available","$15,000-$24,999","Estimate","40,220"
"Alameda County, California","Total, vehicles available","$15,000-$24,999","Margin of Error","1,350"
"Alameda County, California","Total, vehicles available","$25,000-$34,999","Estimate","36,930"
"Alameda County, California","Total, vehicles available","$25,000-$34,999","Margin of Error","1,185"
"Alameda County, California","Total, vehicles available","$35,000-$49,999","Estimate","54,100"
"Alameda County, California","Total, vehicles available","$35,000-$49,999","Margin of Error","1,323"
"Alameda County, California","Total, vehicles available","$50,000-$74,999","Estimate","82,880"
"Alameda County, California","Total, vehicles available","$50,000-$74,999","Margin of Error","1,728"
"Alameda County, California","Total, vehicles available","$75,000-$99,999","Estimate","67,430"
"Alameda County, California","Total, vehicles available","$75,000-$99,999","Margin of Error","1,760"
"Alameda County, California","Total, vehicles available","$100,000-$149,999","Estimate","99,880"
"Alameda County, California","Total, vehicles available","$100,000-$149,999","Margin of Error","1,708"
"Alameda County, California","Total, vehicles available","$150,000 or more","Estimate","129,565"
"Alameda County, California","Total, vehicles available","$150,000 or more","Margin of Error","1,875"
"Alameda County, California","0 vehicles","Total, household income","Estimate","56,950"
"Alameda County, California","0 vehicles","Total, household income","Margin of Error","1,397"
"Alameda County, California","0 vehicles","Less than $15,000","Estimate","22,655"
"Alameda County, California","0 vehicles","Less than $15,000","Margin of Error","1,028"
"Alameda County, California","0 vehicles","$15,000-$24,999","Estimate","10,485"
"Alameda County, California","0 vehicles","$15,000-$24,999","Margin of Error","662"
"Alameda County, California","0 vehicles","$25,000-$34,999","Estimate","5,435"
"Alameda County, California","0 vehicles","$25,000-$34,999","Margin of Error","548"
"Alameda County, California","0 vehicles","$35,000-$49,999","Estimate","5,705"
"Alameda County, California","0 vehicles","$35,000-$49,999","Margin of Error","442"
"Alameda County, California","0 vehicles","$50,000-$74,999","Estimate","5,165"
"Alameda County, California","0 vehicles","$50,000-$74,999","Margin of Error","458"
"Alameda County, California","0 vehicles","$75,000-$99,999","Estimate","2,525"
"Alameda County, California","0 vehicles","$75,000-$99,999","Margin of Error","310"
"Alameda County, California","0 vehicles","$100,000-$149,999","Estimate","2,930"
"Alameda County, California","0 vehicles","$100,000-$149,999","Margin of Error","338"
