"A302100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 7/6/2022 1:55:44 PM (Eastern Daylight Time)"
"RESIDENCE","WORKPLACE","Output","Workers 16 and Over",
"San Francisco County, California","Solano County, California","Margin of Error","162"
"San Francisco County, California","Sonoma County, California","Estimate","955"
"San Francisco County, California","Sonoma County, California","Margin of Error","201"
"San Joaquin County, California","Alameda County, California","Estimate","27,645"
"San Joaquin County, California","Alameda County, California","Margin of Error","1,255"
"San Joaquin County, California","Contra Costa County, California","Estimate","6,350"
"San Joaquin County, California","Contra Costa County, California","Margin of Error","591"
"San Joaquin County, California","Marin County, California","Estimate","250"
"San Joaquin County, California","Marin County, California","Margin of Error","132"
"San Joaquin County, California","Napa County, California","Estimate","330"
"San Joaquin County, California","Napa County, California","Margin of Error","143"
"San Joaquin County, California","San Francisco County, California","Estimate","2,305"
"San Joaquin County, California","San Francisco County, California","Margin of Error","366"
"San Joaquin County, California","San Joaquin County, California","Estimate","199,980"
"San Joaquin County, California","San Joaquin County, California","Margin of Error","2,675"
"San Joaquin County, California","San Mateo County, California","Estimate","2,160"
"San Joaquin County, California","San Mateo County, California","Margin of Error","379"
"San Joaquin County, California","Santa Clara County, California","Estimate","11,105"
"San Joaquin County, California","Santa Clara County, California","Margin of Error","900"
"San Joaquin County, California","Solano County, California","Estimate","1,105"
"San Joaquin County, California","Solano County, California","Margin of Error","350"
"San Joaquin County, California","Sonoma County, California","Estimate","175"
"San Joaquin County, California","Sonoma County, California","Margin of Error","85"
"San Mateo County, California","Alameda County, California","Estimate","12,940"
"San Mateo County, California","Alameda County, California","Margin of Error","697"
"San Mateo County, California","Contra Costa County, California","Estimate","2,075"
"San Mateo County, California","Contra Costa County, California","Margin of Error","258"
"San Mateo County, California","Marin County, California","Estimate","965"
"San Mateo County, California","Marin County, California","Margin of Error","212"
"San Mateo County, California","Napa County, California","Estimate","125"
"San Mateo County, California","Napa County, California","Margin of Error","76"
"San Mateo County, California","San Francisco County, California","Estimate","84,195"
"San Mateo County, California","San Francisco County, California","Margin of Error","1,909"
"San Mateo County, California","San Joaquin County, California","Estimate","70"
"San Mateo County, California","San Joaquin County, California","Margin of Error","59"
"San Mateo County, California","San Mateo County, California","Estimate","222,355"
"San Mateo County, California","San Mateo County, California","Margin of Error","3,101"
"San Mateo County, California","Santa Clara County, California","Estimate","61,165"
"San Mateo County, California","Santa Clara County, California","Margin of Error","1,477"
"San Mateo County, California","Solano County, California","Estimate","275"
"San Mateo County, California","Solano County, California","Margin of Error","115"
"San Mateo County, California","Sonoma County, California","Estimate","150"
"San Mateo County, California","Sonoma County, California","Margin of Error","85"
"Santa Clara County, California","Alameda County, California","Estimate","38,120"
"Santa Clara County, California","Alameda County, California","Margin of Error","1,459"
"Santa Clara County, California","Contra Costa County, California","Estimate","3,155"
"Santa Clara County, California","Contra Costa County, California","Margin of Error","434"
"Santa Clara County, California","Marin County, California","Estimate","340"
"Santa Clara County, California","Marin County, California","Margin of Error","107"
"Santa Clara County, California","Napa County, California","Estimate","65"
"Santa Clara County, California","Napa County, California","Margin of Error","57"
"Santa Clara County, California","San Francisco County, California","Estimate","15,470"
"Santa Clara County, California","San Francisco County, California","Margin of Error","935"
"Santa Clara County, California","San Joaquin County, California","Estimate","385"
"Santa Clara County, California","San Joaquin County, California","Margin of Error","129"
"Santa Clara County, California","San Mateo County, California","Estimate","46,430"
"Santa Clara County, California","San Mateo County, California","Margin of Error","1,635"
"Santa Clara County, California","Santa Clara County, California","Estimate","791,635"
"Santa Clara County, California","Santa Clara County, California","Margin of Error","4,001"
"Santa Clara County, California","Solano County, California","Estimate","190"
"Santa Clara County, California","Solano County, California","Margin of Error","101"
"Santa Clara County, California","Sonoma County, California","Estimate","485"
"Santa Clara County, California","Sonoma County, California","Margin of Error","205"
