mph,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma
1,1550.8137638674002,1598.58129494896,1547.1198295638303,1610.062190299147,1466.1965443552074,1526.48961955314,1549.157005020461,1605.265956715888,1603.568157330942
2,1485.1008728048503,1530.8089283580132,1481.6020597435977,1541.8347054459127,1404.1047859560788,1461.8080668703906,1483.5264948320191,1537.2037890820666,1535.6421419896456
3,1419.3879817423006,1463.0365617670664,1416.0842899233653,1473.6072205926782,1342.0130275569502,1397.1265141876409,1417.8959846435775,1469.1416214482451,1467.716126648349
4,1353.6750906797506,1395.2641951761193,1350.566520103133,1405.3797357394437,1279.9212691578214,1332.4449615048911,1352.265474455136,1401.079453814424,1399.7901113070525
5,1287.962199617201,1327.4918285851725,1285.0487502829005,1337.1522508862092,1217.8295107586928,1267.7634088221414,1286.6349642666944,1333.0172861806025,1331.864095965756
6,1222.2493085546512,1259.7194619942256,1219.5309804626681,1268.9247660329747,1155.7377523595642,1203.0818561393917,1221.0044540782528,1264.955118546781,1263.9380806244594
7,1156.5364174921012,1191.9470954032786,1154.0132106424358,1200.6972811797402,1093.6459939604354,1138.400303456642,1155.3739438898112,1196.8929509129598,1196.0120652831629
8,1090.8235264295515,1124.1747288123318,1088.4954408222034,1132.4697963265057,1031.5542355613068,1073.7187507738922,1089.7434337013697,1128.8307832791384,1128.0860499418663
9,1025.1106353670016,1056.402362221385,1022.9776710019707,1064.2423114732715,969.4624771621782,1009.0371980911426,1024.1129235129279,1060.768615645317,1060.1600346005698
10,959.3977443044519,988.6299956304379,957.4599011817384,996.014826620037,907.3707187630495,944.3556454083929,958.4824133244864,992.7064480114957,992.2340192592733
11,915.9442665849336,943.816344905951,914.1285720024433,950.89373750118,866.3097953514772,901.5857087953311,915.0858250792353,947.70082181676,947.3069977133003
12,872.4907888654155,899.0026941814643,870.7972428231483,905.7726483823232,825.2488719399049,858.8157721822694,871.6892368339842,902.6951956220242,902.3799761673273
13,829.0373111458973,854.1890434569775,827.4659136438532,860.6515592634662,784.1879485283328,816.0458355692076,828.2926485887331,857.6895694272886,857.4529546213544
14,785.5838334263792,809.3753927324908,784.1345844645582,815.5304701446094,743.1270251167605,773.2758989561457,784.896060343482,812.6839432325528,812.5259330753813
15,742.130355706861,764.561742008004,740.8032552852632,770.4093810257524,702.0661017051882,730.505962343084,741.4994720982309,767.6783170378171,767.5989115294084
16,712.9069073019107,734.4245481667464,711.6575445228509,740.0609332518717,674.4506544655742,701.7434968265776,712.3158973604181,737.4117284288147,737.3775176141025
17,683.6834588969605,704.2873543254888,682.5118337604385,709.7124854779909,646.8352072259602,672.9810313100712,683.1323226226054,707.1451398198124,707.1561236987967
18,654.4600104920102,674.1501604842313,653.3661229980263,679.3640377041102,619.2197599863462,644.2185657935648,653.9487478847927,676.87855121081,676.9347297834909
19,625.23656208706,644.0129666429737,624.2204122356139,649.0155899302293,591.6043127467323,615.4561002770585,624.76517314698,646.6119626018076,646.7133358681849
20,596.0131136821096,613.875772801716,595.0747014732017,618.6671421563486,563.9888655071182,586.6936347605521,595.5815984091673,616.3453739928052,616.4919419528791
21,576.1777315679933,593.4205019391367,575.2907204551626,598.0671274269885,545.2445751883783,567.1715146607944,575.7737734317391,595.8021953917116,595.9770991569604
22,556.3423494538769,572.9652310765573,555.5067394371234,577.4671126976283,526.5002848696383,547.6493945610366,555.9659484543107,575.259016790618,575.4622563610418
23,536.5069673397605,552.5099602139779,535.7227584190844,556.8670979682682,507.75599455089844,528.127274461279,536.1581234768825,554.7158381895246,554.947413565123
24,516.6715852256442,532.0546893513986,515.9387774010453,536.2670832389081,489.01170423215854,508.6051543615212,516.3502984994541,534.172659588431,534.4325707692044
25,496.8362031115278,511.5994184888192,496.15479638300616,515.6670685095479,470.2674139134186,489.0830342617635,496.54247352202583,513.6294809873374,513.9177279732858
26,483.4150332555722,497.75886341544947,482.76810486861547,501.72819002241164,457.5844916704639,475.8739831453133,483.1400758165057,499.7294099262859,500.0362232044549
27,469.9938633996166,483.91830834207974,469.38141335422483,487.78931153527543,444.9015694275092,462.66493202886306,469.7376781109856,485.8293388652344,486.1547184356241
28,456.572693543661,470.07775326871,455.99472183983414,473.85043304813917,432.21864718455447,449.4558809124129,456.3352804054655,471.9292678041829,472.27321366679325
