mph,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma
1,1554.0702717970794,1587.1447416904152,1553.298601917989,1592.0276062311057,1500.9565253560138,1567.8375538052926,1553.8816367293484,1585.5639078644124,1585.2361345134477
2,1488.2996789385084,1519.9689618797017,1487.657483997266,1524.6519336843012,1437.526033434457,1501.5535737593937,1488.1437113298684,1518.440525365941,1518.1602431294775
3,1422.5290860799375,1452.7931820689882,1422.0163660765427,1457.276261137497,1374.0955415129006,1435.2695937134945,1422.4057859303884,1451.3171428674698,1451.0843517455073
4,1356.7584932213667,1385.617402258275,1356.3752481558195,1389.9005885906927,1310.665049591344,1368.9856136675955,1356.6678605309085,1384.1937603689983,1384.0084603615373
5,1290.987900362796,1318.4416224475615,1290.7341302350962,1322.5249160438882,1247.2345576697874,1302.7016336216966,1290.9299351314285,1317.070377870527,1316.9325689775671
6,1225.2173075042251,1251.265842636848,1225.093012314373,1255.1492434970837,1183.8040657482306,1236.4176535757977,1225.1920097319485,1249.9469953720557,1249.856677593597
7,1159.4467146456543,1184.0900628261347,1159.4518943936498,1187.7735709502795,1120.3735738266741,1170.1336735298987,1159.4540843324685,1182.8236128735841,1182.780786209627
8,1093.6761217870835,1116.9142830154212,1093.8107764729266,1120.3978984034752,1056.9430819051177,1103.8496934839995,1093.7161589329885,1115.7002303751128,1115.7048948256568
9,1027.9055289285125,1049.7385032047077,1028.1696585522036,1053.0222258566707,993.5125899835609,1037.5657134381006,1027.9782335335085,1048.5768478766415,1048.6290034416866
10,962.1349360699417,982.5627233939945,962.5285406314803,985.6465533098664,930.0820980620043,971.2817333922017,962.2403081340284,981.4534653781701,981.5531120577166
11,918.6117153844257,938.1120792576064,919.0624550497224,941.0544472438122,888.0845275175218,927.4152582519913,918.7412207220838,937.0416604779557,937.1565098463748
12,875.0884946989096,893.6614351212183,875.5963694679646,896.4623411777582,846.0869569730394,883.548783111781,875.2421333101391,892.6298555777413,892.759907635033
13,831.5652740133936,849.2107909848303,832.1302838862068,851.870235111704,804.0893864285568,839.6823079715705,831.7430458981946,848.2180506775269,848.3633054236911
14,788.0420533278775,804.7601468484422,788.664198304449,807.2781290456498,762.0918158840743,795.8158328313601,788.24395848625,803.8062457773125,803.9667032123494
15,744.5188326423615,760.3095027120542,745.1981127226911,762.6860229795958,720.0942453395919,751.9493576911498,744.7448710743054,759.3944408770981,759.5701010010076
16,715.2225507918753,730.3897834853523,715.9161568495543,732.6633405687475,691.807515634664,722.4161498138349,715.4660925564675,729.5046836836649,729.6790934098196
17,685.926268941389,700.4700642586504,686.6342009764176,702.6406581578991,663.5207859297361,692.8829419365198,686.1873140386297,699.6149264902318,699.7880858186315
18,656.6299870909029,670.5503450319485,657.3522451032809,672.6179757470507,635.2340562248082,663.3497340592049,656.9085355207918,669.7251692967986,669.8970782274436
19,627.3337052404166,640.6306258052466,628.0702892301441,642.5952933362023,606.9473265198802,633.8165261818899,627.629757002954,639.8354121033656,640.0060706362555
20,598.0374233899304,610.7109065785447,598.7883333570073,612.572610925354,578.6605968149523,604.283318304575,598.3509784851161,609.9456549099324,610.1150630450675
21,578.145085636038,590.3955712026948,578.8987894390636,592.1851358291196,559.4486226804266,584.2286095779763,578.4709476400303,589.6517429604984,589.8168488496481
22,558.2527478821454,570.0802358268448,559.0092455211201,571.7976607328853,540.236648545901,564.1739008513774,558.5909167949445,569.3578310110645,569.5186346542288
23,538.360410128253,549.7649004509949,539.1197016031764,551.410185636651,521.0246744113753,544.1191921247787,538.7108859498587,549.0639190616305,549.2204204588094
24,518.4680723743605,529.449565075145,519.2301576852327,531.0227105404167,501.8127002768495,524.0644833981798,518.8308551047729,528.7700071121966,528.9222062633901
25,498.57573462046804,509.134229699295,499.3406137672891,510.63523544418234,482.6007261423238,504.0097746715811,498.95082425968707,508.4760951627626,508.6239920679707
26,485.1128678056182,495.3849584196926,485.87657152437953,496.836160521104,469.5964742259295,490.43573355370273,485.4962877051833,494.74186432213696,494.88580006576484
27,471.6500009907683,481.63568714009017,472.41252928147,483.03708559802567,456.5922223095352,476.8616924358243,472.0417511506796,481.00763348151133,481.147608063559
28,458.18713417591846,467.8864158604878,458.9484870385604,469.2380106749473,443.58797039314095,463.2876513179459,458.58721459617584,467.2734026408857,467.40941606135317
29,444.72426736106866,454.1371445808853,445.4844447956508,455.438935751869,430.58371847674664,449.7136102000675,445.13267804167214,453.53917180026014,453.67122405914733
30,431.2614005462188,440.3878733012829,432.02040255274125,441.63986082879063,417.57946656035233,436.1395690821891,431.6781414871684,439.8049409596345,439.9330320569415
31,422.39188411280463,431.32965117290576,423.152993164634,432.5497533680418,409.01404577562425,427.19769716513673,422.814010734743,430.7561488336816,430.88287443944125
32,413.52236767939047,422.2714290445286,414.2855837765267,423.459645907293,400.4486249908962,418.25582524808436,413.94987998231767,421.70735670772876,421.832716821941
33,404.6528512459763,413.2132069161515,405.4181743884195,414.36953844654414,391.88320420616805,409.31395333103205,405.0857492298923,412.65856458177586,412.78255920444076
34,395.78333481256215,404.1549847877743,396.55076500031225,405.27943098579533,383.31778342143997,400.3720814139797,396.22161847746696,403.609772455823,403.7324015869405
35,386.913818379148,395.09676265939714,387.683355612205,396.1893235250465,374.7523626367119,391.4302094969273,387.3574877250416,394.5609803298701,394.68224396944026
36,381.5057604499266,389.57358545147883,382.27630736482195,390.6466190333096,369.5296343711593,385.9778074658152,381.95267657149816,389.04361105053306,389.16404173837674
37,376.0977025207052,384.0504082435605,376.8692591174389,385.10391454157275,364.30690610560674,380.52540543470315,376.5478654179547,383.526241771196,383.64583950731316
38,370.6896445914837,378.5272310356422,371.4622108700558,379.56121004983584,359.08417784005417,375.07300340359103,371.1430542644112,378.00887249185894,378.12763727624963
39,365.2815866622623,373.0040538277239,366.05516262267275,374.018505558099,353.8614495745016,369.620601372479,365.73824311086776,372.4915032125219,372.60943504518605
40,359.8735287330409,367.4808766198056,360.6481143752897,368.47580106636207,348.638721308949,364.16819934136686,360.3334319573243,366.9741339331848,367.0912328141225
41,357.2790109516647,364.8310982296362,358.0532908399521,365.81640150486317,346.1326389980861,361.5520772323545,357.74047306376553,364.3272817159608,364.4437084536477
42,354.68449317028853,362.18131983946677,355.4584673046146,363.15700194336426,343.6265566872232,358.93595512334224,355.14751417020676,361.6804294987368,361.7961840931728
43,352.0899753889123,359.5315414492974,352.863643769277,360.49760238186536,341.1204743763603,356.3198330143299,352.55455527664793,359.0335772815128,359.148659732698
44,349.49545760753614,356.88176305912793,350.2688202339395,357.83820282036646,338.6143920654973,353.7037109053176,349.96159638308916,356.38672506428884,356.50113537222313
45,346.9009398261599,354.23198466895855,347.6739966986019,355.17880325886756,336.10830975463443,351.0875887963053,347.3686374895304,353.7398728470648,353.8536110117483
46,346.8253122867312,354.15472419035103,347.59969043935337,355.10169101390966,336.03618504954056,351.01170932436446,347.2929959473541,353.6624786375443,353.776801640311
47,346.7496847473026,354.0774637117435,347.5253841801048,355.0245787689517,335.96406034444664,350.93582985242364,347.2173544051778,353.5850844280239,353.69999226887376
48,346.6740572078739,354.00020323313606,347.45107792085633,354.9474665239938,335.89193563935277,350.85995038048276,347.1417128630015,353.5076902185034,353.62318289743644
49,346.59842966844525,353.92294275452855,347.3767716616078,354.87035427903584,335.81981093425884,350.78407090854193,347.0660713208252,353.43029600898296,353.5463735259992
50,346.52280212901655,353.84568227592104,347.30246540235925,354.79324203407793,335.74768622916497,350.7081914366011,346.9904297786489,353.3529017994625,353.4695641545619
51,348.9603782238317,356.33502821206713,349.7448002889931,357.29306860765575,338.10540090287986,353.16716377892146,349.4262925621238,355.8387810329945,355.9582336570426
52,351.3979543186468,358.8243741482132,352.1871351756269,359.79289518123363,340.46311557659476,355.62613612124187,351.8621553455988,358.32466026652656,358.4469031595233
53,353.8355304134619,361.3137200843593,354.6294700622607,362.29272175481145,342.8208302503097,358.0851084635622,354.29801812907374,360.81053950005867,360.935572662004
54,356.273106508277,363.8030660205054,357.0718049488945,364.79254832838933,345.1785449240246,360.54408080588263,356.7338809125487,363.2964187335907,363.42424216448467
55,358.71068260309215,366.2924119566515,359.51413983552834,367.29237490196715,347.5362595977395,363.003053148203,359.16974369602366,365.78229796712276,365.9129116669654
56,363.93565619532023,371.628249447171,364.7435229132725,372.64881722543396,352.5863447572831,368.2717738202771,364.39115667083377,371.1117036560272,371.2460421047324
57,369.16062978754826,376.9640869376905,369.97290599101666,378.00525954890077,357.6364299168267,373.5404944923512,369.6125696456439,376.4411093449316,376.5791725424994
58,374.38560337977634,382.29992442821003,375.2022890687609,383.36170187236763,362.6865150763703,378.80921516442527,374.833982620454,381.77051503383603,381.9123029802665
59,379.61057697200437,387.63576191872954,380.43167214650504,388.71814419583444,367.73660023591395,384.07793583649936,380.0553955952641,387.0999207227404,387.2454334180335
60,384.83555056423245,392.97159940924905,385.6610552242492,394.07458651930125,372.78668539545754,389.34665650857346,385.2768085700742,392.42932641164487,392.5785638558005
61,393.4730043279141,401.7924128887205,394.30454736218286,402.92905892267646,381.1340527119773,398.0562334090964,393.9084766409907,401.2396953928542,401.39440574520074
62,402.1104580915958,410.61322636819193,402.9480395001166,411.7835313260517,389.481420028497,406.76581030961944,402.54014471190726,410.0500643740635,410.21024763460093
63,410.7479118552775,419.4340398476634,411.59153163805024,420.6380037294269,397.82878734501674,415.4753872101424,411.17181278282385,418.8604333552728,419.0260895240012
64,419.38536561895916,428.25485332713487,420.23502377598396,429.4924761328021,406.17615466153643,424.1849641106654,419.8034808537404,427.6708023364821,427.84193141340137
65,428.0228193826408,437.0756668066063,428.8785159139176,438.3469485361773,414.5235219780562,432.8945410111884,428.4351489246569,436.4811713176914,436.6577733028016
66,433.9413092848079,443.11965349231986,434.8022354000025,444.41435147927996,420.24419662747005,438.8624689793635,434.349541958439,442.51785324689877,442.69891851164465
67,439.859799186975,449.16364017803346,440.7259548860874,450.4817544223826,425.9648712768839,444.83039694753853,440.26393499222104,448.5545351761061,448.7400637204877
68,445.77828908914216,455.207626863747,446.6496743721722,456.5491573654853,431.6855459262978,450.79832491571364,446.17832802600316,454.59121710531355,454.78120892933066
69,451.69677899130926,461.2516135494606,452.57339385825713,462.61656030858796,437.40622057571164,456.7662528838887,452.0927210597852,460.6278990345209,460.8223541381737
70,457.61526889347635,467.29560023517416,458.497113344342,468.6839632516906,443.1268952251255,462.7341808520638,458.0071140935673,466.66458096372827,466.8634993470167
71,463.53375879564345,473.3395869208877,464.42083283042683,474.75136619479326,448.8475698745394,468.7021088202389,463.92150712734934,472.70126289293563,472.90464455585976
72,469.45224869781055,479.3835736066013,470.34455231651174,480.8187691378959,454.56824452395324,474.67003678841394,469.8359001611314,478.737944822143,478.9457897647028
73,475.3707385999777,485.42756029231487,476.2682718025966,486.8861720809986,460.2889191733671,480.63796475658904,475.7502931949135,484.7746267513504,484.9869349735458
74,481.2892285021448,491.47154697802847,482.1919912886815,492.95357502410127,466.00959382278097,486.6058927247641,481.6646862286956,490.8113086805578,491.0280801823888
75,487.2077184043119,497.515533663742,488.11571077476634,499.0209779672039,471.73026847219484,492.5738206929392,487.57907926247765,496.84799060976513,497.06922539123184
76,493.126208306479,503.5595203494556,494.0394302608512,505.08838091030657,477.4509431216087,498.5417486611143,493.4934722962597,502.8846725389725,503.1103706000749
77,499.0446982086461,509.6035070351692,499.9631497469361,511.1557838534092,483.17161777102257,504.50967662928934,499.4078653300418,508.92135446817986,509.1515158089179
78,504.96318811081323,515.6474937208827,505.88686923302095,517.2231867965119,488.89229242043643,510.47760459746445,505.3222583638239,514.9580363973872,515.1926610177609
79,510.88167801298033,521.6914804065963,511.81058871910585,523.2905897396146,494.6129670698503,516.4455325656395,511.23665139760595,520.9947183265946,521.233806226604
80,516.8001679151474,527.7354670923098,517.7343082051907,529.3579926827172,500.33364171926416,522.4134605338146,517.1510444313881,527.031400255802,527.274951435447
81,522.7186578173146,533.7794537780235,523.6580276912756,535.4253956258199,506.05431636867803,528.3813885019897,523.0654374651701,533.0680821850094,533.3160966442899
82,528.6371477194816,539.823440463737,529.5817471773605,541.4927985689226,511.7749910180919,534.3493164701647,528.9798304989522,539.1047641142168,539.357241853133
83,534.5556376216488,545.8674271494506,535.5054666634453,547.5602015120252,517.4956656675058,540.3172444383398,534.8942235327343,545.1414460434241,545.398387061976
84,540.4741275238158,551.9114138351641,541.4291861495302,553.6276044551279,523.2163403169196,546.2851724065149,540.8086165665163,551.1781279726315,551.4395322708191
85,546.392617425983,557.9554005208777,547.3529056356151,559.6950073982305,528.9370149663334,552.25310037469,546.7230096002984,557.2148099018389,557.4806774796621
86,552.3111073281501,563.9993872065913,553.2766251216999,565.7624103413332,534.6576896157474,558.2210283428651,552.6374026340804,563.2514918310462,563.521822688505
87,558.2295972303172,570.0433738923049,559.2003446077848,571.8298132844359,540.3783642651613,564.1889563110401,558.5517956678625,569.2881737602536,569.5629678973481
88,564.1480871324843,576.0873605780184,565.1240640938697,577.8972162275385,546.0990389145751,570.1568842792152,564.4661887016446,575.324855689461,575.6041131061911
89,570.0665770346513,582.131347263732,571.0477835799545,583.9646191706412,551.8197135639889,576.1248122473903,570.3805817354266,581.3615376186683,581.6452583150342
90,575.9850669368185,588.1753339494455,576.9715030660394,590.0320221137438,557.5403882134028,582.0927402155654,576.2949747692087,587.3982195478757,587.6864035238772
91,581.9035568389857,594.2193206351592,582.8952225521243,596.0994250568465,563.2610628628167,588.0606681837405,582.2093678029909,593.4349014770831,593.7275487327202
92,587.8220467411527,600.2633073208727,588.8189420382091,602.1668279999492,568.9817375122306,594.0285961519155,588.1237608367729,599.4715834062905,599.7686939415632
93,593.7405366433198,606.3072940065863,594.742661524294,608.2342309430518,574.7024121616444,599.9965241200906,594.038153870555,605.5082653354979,605.8098391504062
94,599.659026545487,612.3512806923,600.6663810103789,614.3016338861545,580.4230868110583,605.9644520882657,599.952546904337,611.5449472647052,611.8509843592492
95,605.577516447654,618.3952673780134,606.5901004964637,620.3690368292571,586.1437614604722,611.9323800564408,605.8669399381191,617.5816291939126,617.8921295680923
96,611.4960063498212,624.439254063727,612.5138199825486,626.4364397723598,591.864436109886,617.9003080246159,611.7813329719012,623.61831112312,623.9332747769353
97,617.4144962519882,630.4832407494406,618.4375394686335,632.5038427154625,597.5851107592998,623.8682359927909,617.6957260056832,629.6549930523273,629.9744199857784
98,623.3329861541554,636.5272274351541,624.3612589547184,638.5712456585651,603.3057854087137,629.836163960966,623.6101190394653,635.6916749815347,636.0155651946213
99,629.2514760563224,642.5712141208678,630.2849784408033,644.6386486016678,609.0264600581277,635.8040919291411,629.5245120732475,641.7283569107421,642.0567104034644
