TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
1,19501,448,15432,1477,5,700,1439
2,29143,288,20038,2788,16,1520,4493
3,2080,11,1313,373,0,5,378
4,23559,437,15885,2700,0,600,3937
5,14645,2736,6552,3161,0,739,1457
6,2717,63,491,2036,0,43,84
7,4786,1019,1324,2349,0,15,79
8,4324,120,929,2473,0,35,767
9,6671,132,936,3527,0,3,2073
10,28875,196,5066,11717,0,957,10939
11,11885,2326,3803,3375,2,225,2154
12,17222,1492,10058,3538,0,764,1370
13,18737,114,14750,992,1,511,2369
14,33381,82,22346,397,0,7689,2867
15,17231,471,9297,727,0,3831,2905
16,29255,404,17734,1451,9,1413,8244
17,15748,307,6443,777,0,2368,5853
18,8869,407,3420,1939,0,489,2614
19,13282,1131,5415,3568,0,471,2697
20,6253,487,2497,1278,0,629,1362
21,15043,343,8462,2120,13,2403,1702
22,16565,329,11043,2080,13,216,2884
23,9025,150,5729,805,0,576,1765
24,16756,520,8640,2113,2,365,5116
25,1764,193,243,1273,0,29,26
26,4806,57,2648,955,0,134,1012
27,1484,105,73,1300,0,6,0
28,659,16,171,413,0,33,26
29,1422,13,649,727,0,25,8
30,1143,124,219,730,0,6,64
31,2053,16,477,1533,0,14,13
32,2412,360,218,1769,0,10,55
33,1382,106,369,796,0,58,53
34,1240,276,224,684,0,27,29
35,529,25,234,256,4,6,4
36,2155,283,234,1547,8,34,49
37,2497,105,754,1332,0,127,179
38,1383,183,503,403,0,148,146
39,488,23,107,322,1,8,27
40,2248,221,841,676,5,466,39
41,5675,963,2765,1676,0,221,50
42,518,20,54,310,1,32,101
43,1673,312,313,890,0,124,34
44,1277,75,373,698,0,17,114
45,2710,245,646,1363,3,177,276
46,1865,26,621,1152,0,25,41
47,2731,144,750,1729,0,21,87
48,914,76,161,560,0,98,19
49,1020,1,170,825,0,4,20
50,2110,439,287,1167,1,17,199
51,474,104,65,244,0,37,24
52,5825,339,1774,1966,25,359,1362
53,1072,9,24,886,0,0,153
54,782,198,55,442,0,43,44
55,293,38,33,189,0,12,21
56,3326,23,189,3112,0,0,2
57,263,1,35,202,0,10,15
58,786,54,74,599,0,31,28
59,999,27,102,724,0,61,85
60,594,10,21,543,0,0,20
61,1100,26,712,344,0,0,18
62,1313,162,173,870,0,46,62
63,705,88,151,352,0,5,109
64,665,149,77,393,0,3,43
65,1506,241,294,811,3,26,131
66,1477,302,176,878,0,38,83
67,771,58,73,580,0,9,51
68,868,34,284,503,0,0,47
69,8964,318,214,8353,0,30,49
70,2090,488,529,910,0,24,139
71,2256,131,446,1602,9,33,35
72,1210,72,203,913,0,12,10
73,1318,254,122,865,0,25,52
74,2899,214,520,2116,0,20,29
75,4758,522,816,3368,0,8,44
76,3031,59,377,795,0,14,1786
77,1416,175,108,1071,0,30,32
78,1198,2,101,1077,0,15,3
79,9263,171,482,4534,0,262,3814
80,562,14,186,322,0,22,18
81,15367,65,488,14695,0,28,91
82,1372,360,414,517,0,17,64
83,575,13,443,105,0,2,12
84,1540,29,247,1176,0,27,61
85,1172,180,187,564,0,56,185
86,933,44,69,780,0,9,31
87,1624,24,118,1459,0,6,17
88,1600,588,188,615,24,29,156
89,1164,96,182,734,0,52,100
90,17356,57,158,17107,0,1,33
91,444,10,81,293,1,4,55
92,156,6,23,107,0,1,19
93,356,5,104,157,0,43,47
94,838,162,179,451,0,17,29
95,615,6,249,297,0,9,54
96,279,6,122,123,0,5,23
97,1229,91,106,883,0,121,28
98,846,228,223,350,0,16,29
99,738,18,136,354,0,209,21
100,1996,228,616,968,0,61,123
101,3058,460,585,1688,5,112,208
102,1567,204,111,946,0,159,147
103,954,113,259,528,0,39,15
104,1678,395,422,757,0,7,97
105,1526,144,151,1148,1,25,57
106,4068,421,918,2107,0,81,541
107,32070,1366,2667,3733,0,13684,10620
108,4550,236,1195,2266,0,465,388
109,6379,134,2853,828,0,452,2112
110,7240,161,3745,1789,0,1452,93
111,7075,404,2018,1853,0,1557,1243
112,898,40,287,234,0,264,73
113,1147,20,307,475,0,125,220
114,1288,410,305,405,0,64,104
115,554,11,224,297,0,16,6
116,5502,796,2288,1091,0,458,869
117,892,32,401,392,0,36,31
118,448,48,55,319,0,4,22
119,378,83,24,242,0,6,23
120,674,61,123,319,0,15,156
121,534,105,165,151,0,66,47
122,1079,70,413,377,0,121,98
123,1793,255,247,1109,0,98,84
124,316,113,22,151,0,3,27
125,201,5,23,157,0,1,15
126,259,0,45,176,0,7,31
127,643,101,74,418,0,2,48
128,688,45,267,320,0,9,47
129,262,0,86,125,0,7,44
130,900,218,251,382,8,18,23
131,392,4,81,161,0,91,55
132,640,227,87,266,0,42,18
133,2338,84,158,1932,0,26,138
134,836,32,121,517,0,73,93
135,573,85,56,379,0,12,41
136,888,0,57,785,0,2,44
137,406,51,33,265,0,1,56
138,2475,245,155,953,0,32,1090
139,934,73,129,503,19,78,132
140,300,40,0,195,0,48,17
141,289,16,46,179,0,9,39
142,9894,931,1782,1016,0,3029,3136
143,855,39,75,503,0,78,160
144,672,0,186,464,0,7,15
145,766,0,77,466,0,31,192
146,193,0,127,31,0,35,0
147,1851,37,218,372,2,601,621
148,2287,365,140,345,7,509,921
149,1030,7,530,267,0,45,181
150,2181,223,430,644,3,166,715
151,137,21,3,99,0,10,4
152,886,5,561,286,0,4,30
153,225,1,12,161,0,28,23
154,601,128,86,347,0,30,10
155,345,4,25,275,0,1,40
156,169,2,5,152,0,0,10
157,176,4,0,160,0,9,3
158,309,0,17,290,0,0,2
159,331,31,12,244,0,2,42
160,258,1,52,190,0,4,11
161,369,16,42,281,0,4,26
162,507,65,61,316,0,16,49
163,424,15,20,345,0,8,36
164,3649,120,3037,393,0,37,62
165,1130,204,52,806,0,4,64
166,921,13,30,773,0,9,96
167,454,15,26,331,0,4,78
168,572,27,35,420,0,13,77
169,1041,27,163,695,0,33,123
170,1908,128,382,1218,0,40,140
171,556,126,57,252,48,45,28
172,557,138,53,253,4,26,83
173,257,36,88,100,0,5,28
174,419,1,62,265,0,11,80
175,1234,88,238,839,0,38,31
176,472,78,78,271,0,13,32
177,1478,203,276,896,0,41,62
178,493,8,111,326,0,5,43
179,599,7,50,440,0,15,87
180,464,66,22,334,0,14,28
181,790,82,85,478,8,41,96
182,488,40,27,297,0,22,102
183,1362,122,43,1126,0,26,45
184,861,156,144,473,0,24,64
185,1958,126,282,1436,0,31,83
186,1500,76,209,1069,2,31,113
187,1107,241,553,197,43,11,62
188,5732,785,120,4811,0,2,14
189,730,6,256,461,0,5,2
190,800,6,26,713,0,40,15
191,441,25,105,262,0,2,47
192,1479,724,185,554,0,1,15
193,2246,106,285,1256,0,126,473
194,2114,76,62,1878,0,21,77
195,247,0,30,177,0,7,33
196,249,0,43,193,0,1,12
197,445,168,54,215,0,1,7
198,965,13,24,903,0,25,0
199,1840,1154,137,524,0,2,23
200,4451,2611,236,1391,46,93,74
201,1174,267,101,527,2,145,132
202,463,8,23,366,0,17,49
203,2467,232,475,875,0,79,806
204,648,143,89,343,0,9,64
205,265,2,48,191,0,6,18
206,137,4,36,72,0,3,22
207,840,48,40,298,0,430,24
208,7771,343,2940,658,39,3003,788
209,430,1,54,282,0,24,69
210,630,75,113,182,0,137,123
211,1564,170,431,623,101,95,144
212,43169,1205,12661,4055,247,22081,2920
213,1239,131,109,835,0,24,140
214,893,83,85,396,0,8,321
215,525,100,110,302,0,8,5
216,3793,109,22,3604,0,15,43
217,488,62,133,238,0,4,51
218,1819,266,281,1144,0,38,90
219,325,88,3,206,0,1,27
220,299,11,15,244,0,2,27
221,302,89,39,149,0,6,19
222,721,142,48,434,0,65,32
223,1097,113,161,462,0,42,319
224,313,11,17,181,0,2,102
225,887,148,112,499,0,28,100
226,818,229,114,374,6,4,91
227,366,2,53,177,6,44,84
228,13,0,0,13,0,0,0
229,712,15,30,651,0,4,12
