year,directory,category
2005,2005_05_003,Past year
2010,2010_06_003,Past year
2015,2015_06_002,Past year
2020,2020_06_690,No Project
2020,2020_06_691,Main Streets
2020,2020_06_693,Big Cities
2020,2020_06_694,Proposed Plan
2020,2020_06_695,EEJ
2035,2035_06_690,No Project
2035,2035_06_691,Main Streets
2035,2035_06_693,Big Cities
2035,2035_06_694_Amd1,Proposed Plan
2035,2035_06_697,EEJ
2040,2040_06_690,No Project
2040,2040_06_691,Main Streets
2040,2040_06_693,Big Cities
2040,2040_06_694_Amd1,Proposed Plan
2040,2040_06_697,EEJ
