Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma
57061,16017,2154,489,11275,9560,15950,1895,789
17143,39447,2210,1200,5320,2314,2516,5503,898
2173,2225,5206,370,4008,1290,386,738,1932
562,1186,408,3231,270,120,157,2114,1739
10961,5115,3668,254,31210,11177,2462,896,874
9331,2295,1253,131,11663,20875,9840,413,405
15296,2354,368,141,2625,9698,98080,415,373
2066,6044,829,2408,922,393,440,14016,1124
804,1001,2194,1751,1032,407,375,1104,25761
