,truck_type,bin_start,bin_end,center,trips,share
0,light_trucks,0.0,5.0,2.5,79190.45790000002,0.19911606330526344
1,light_trucks,5.0,10.0,7.5,82162.77310000003,0.20658963672838668
2,light_trucks,10.0,15.0,12.5,64524.0906999998,0.16223902815108884
3,light_trucks,15.0,20.0,17.5,53148.68759999995,0.1336367755079398
4,light_trucks,20.0,25.0,22.5,39372.21509999968,0.0989972868223557
5,light_trucks,25.0,30.0,27.5,26879.10019999859,0.06758466561425751
6,light_trucks,30.0,35.0,32.5,19270.969399997965,0.0484548222697395
7,light_trucks,35.0,40.0,37.5,12888.862399993464,0.032407686602983106
8,light_trucks,40.0,45.0,42.5,8098.7056999905035,0.02036334224618755
9,light_trucks,45.0,50.0,47.5,5035.962999989977,0.012662398401272135
10,light_trucks,50.0,55.0,52.5,3056.6725999907358,0.007685681217954157
11,light_trucks,55.0,60.0,57.5,1843.386299991922,0.004635000641980715
12,light_trucks,60.0,65.0,62.5,1012.9233999951393,0.0025468891730807226
13,light_trucks,65.0,70.0,67.5,559.2857999980333,0.0014062652207260855
14,light_trucks,70.0,75.0,72.5,300.92349999950966,0.0007566404370537652
15,light_trucks,75.0,80.0,77.5,163.03560000052676,0.00040993583964004943
16,light_trucks,80.0,85.0,82.5,97.55270000023302,0.0002452859865184056
17,light_trucks,85.0,90.0,87.5,59.77909999981057,0.00015030824894237608
18,light_trucks,90.0,95.0,92.5,32.30709999980172,8.123279924575351e-05
19,light_trucks,95.0,100.0,97.5,12.350799999258015,3.1054785383718636e-05
20,medium_trucks,0.0,5.0,2.5,17422.7256,0.15999953833302535
21,medium_trucks,5.0,10.0,7.5,18571.15689999999,0.1705460212442407
22,medium_trucks,10.0,15.0,12.5,15790.977700000018,0.14501457463274867
23,medium_trucks,15.0,20.0,17.5,13953.228300000032,0.12813782054027809
24,medium_trucks,20.0,25.0,22.5,11244.277299999943,0.10326048967266681
25,medium_trucks,25.0,30.0,27.5,8590.162099999972,0.07888673688380003
26,medium_trucks,30.0,35.0,32.5,6619.969099999944,0.060793702667215524
27,medium_trucks,35.0,40.0,37.5,5052.689000000435,0.04640077137760954
28,medium_trucks,40.0,45.0,42.5,3572.2937000010425,0.03280573636481663
29,medium_trucks,45.0,50.0,47.5,2578.59950000151,0.02368026329623257
30,medium_trucks,50.0,55.0,52.5,1799.1644000014785,0.01652241331203948
31,medium_trucks,55.0,60.0,57.5,1229.634500001397,0.011292202886934291
32,medium_trucks,60.0,65.0,62.5,768.1604000009102,0.007054310111263975
33,medium_trucks,65.0,70.0,67.5,518.6594000006735,0.0047630472095704516
34,medium_trucks,70.0,75.0,72.5,349.13700000045355,0.0032062583144310116
35,medium_trucks,75.0,80.0,77.5,256.8940000002767,0.0023591556421326226
36,medium_trucks,80.0,85.0,82.5,214.12820000025386,0.001966420979741673
37,medium_trucks,85.0,90.0,87.5,163.297000000166,0.0014996186710990041
38,medium_trucks,90.0,95.0,92.5,111.82150000019465,0.001026899509669
39,medium_trucks,95.0,100.0,97.5,85.37360000018089,0.0007840183504845713
40,heavy_trucks,0.0,5.0,2.5,2240.601300000002,0.08140070204013718
41,heavy_trucks,5.0,10.0,7.5,2219.395000000003,0.08063028040926797
42,heavy_trucks,10.0,15.0,12.5,2493.121599999996,0.09057472586105772
43,heavy_trucks,15.0,20.0,17.5,2550.8868999999722,0.09267333036224996
44,heavy_trucks,20.0,25.0,22.5,2505.0930999999728,0.0910096486224038
45,heavy_trucks,25.0,30.0,27.5,2418.1508999999496,0.08785105181318303
46,heavy_trucks,30.0,35.0,32.5,2139.4346000000114,0.07772533132465863
47,heavy_trucks,35.0,40.0,37.5,2099.1893000000273,0.07626322573995926
48,heavy_trucks,40.0,45.0,42.5,1807.1457000000883,0.06565332648375334
49,heavy_trucks,45.0,50.0,47.5,1605.2787000001044,0.0583195292933585
50,heavy_trucks,50.0,55.0,52.5,1326.5895000001146,0.048194793343681354
51,heavy_trucks,55.0,60.0,57.5,1029.15060000011,0.03738888366486143
52,heavy_trucks,60.0,65.0,62.5,733.8565000001145,0.026660894241526678
53,heavy_trucks,65.0,70.0,67.5,572.194000000105,0.020787720378080098
54,heavy_trucks,70.0,75.0,72.5,444.41290000009394,0.016145452587080483
55,heavy_trucks,75.0,80.0,77.5,363.9005000000652,0.01322044942701864
56,heavy_trucks,80.0,85.0,82.5,339.9220000000714,0.012349314194762494
57,heavy_trucks,85.0,90.0,87.5,274.40510000007635,0.009969095252868165
58,heavy_trucks,90.0,95.0,92.5,199.83450000004814,0.007259956776711545
59,heavy_trucks,95.0,100.0,97.5,163.01440000004368,0.005922288183379739
