,truck_type,bin_start,bin_end,center,trips,share
0,light_trucks,0.0,5.0,2.5,0.0,
1,light_trucks,5.0,10.0,7.5,0.0,
2,light_trucks,10.0,15.0,12.5,0.0,
3,light_trucks,15.0,20.0,17.5,0.0,
4,light_trucks,20.0,25.0,22.5,0.0,
5,light_trucks,25.0,30.0,27.5,0.0,
6,light_trucks,30.0,35.0,32.5,0.0,
7,light_trucks,35.0,40.0,37.5,0.0,
8,light_trucks,40.0,45.0,42.5,0.0,
9,light_trucks,45.0,50.0,47.5,0.0,
10,light_trucks,50.0,55.0,52.5,0.0,
11,light_trucks,55.0,60.0,57.5,0.0,
12,light_trucks,60.0,65.0,62.5,0.0,
13,light_trucks,65.0,70.0,67.5,0.0,
14,light_trucks,70.0,75.0,72.5,0.0,
15,light_trucks,75.0,80.0,77.5,0.0,
16,light_trucks,80.0,85.0,82.5,0.0,
17,light_trucks,85.0,90.0,87.5,0.0,
18,light_trucks,90.0,95.0,92.5,0.0,
19,light_trucks,95.0,100.0,97.5,0.0,
20,medium_trucks,0.0,5.0,2.5,29.331500000000002,0.05093728140462467
21,medium_trucks,5.0,10.0,7.5,47.997799999999984,0.08335330431116353
22,medium_trucks,10.0,15.0,12.5,77.37859999999992,0.13437620042943205
23,medium_trucks,15.0,20.0,17.5,45.83859999999913,0.07960362297850379
24,medium_trucks,20.0,25.0,22.5,51.20719999999898,0.08892677007118095
25,medium_trucks,25.0,30.0,27.5,53.85919999999632,0.09353225121892073
26,medium_trucks,30.0,35.0,32.5,47.88659999999777,0.08316019363859965
27,medium_trucks,35.0,40.0,37.5,59.74559999999764,0.10375461329587723
28,medium_trucks,40.0,45.0,42.5,80.37579999999832,0.13958115823335818
29,medium_trucks,45.0,50.0,47.5,38.43569999999875,0.06674769673844394
30,medium_trucks,50.0,55.0,52.5,18.243599999999333,0.03168195922586218
31,medium_trucks,55.0,60.0,57.5,9.861299999998892,0.017125200317589236
32,medium_trucks,60.0,65.0,62.5,4.420999999999026,0.0076775385196732535
33,medium_trucks,65.0,70.0,67.5,3.6811999999993077,0.0063927968329839605
34,medium_trucks,70.0,75.0,72.5,2.5008999999996604,0.004343079865155499
35,medium_trucks,75.0,80.0,77.5,2.9904999999999973,0.005193322538585818
36,medium_trucks,80.0,85.0,82.5,1.5002999999996973,0.0026054311334688975
37,medium_trucks,85.0,90.0,87.5,0.13009999999997035,0.00022593254046810284
38,medium_trucks,90.0,95.0,92.5,0.4300999999999249,0.0007469145707558509
39,medium_trucks,95.0,100.0,97.5,0.01999999999998181,3.4732135352490215e-05
40,heavy_trucks,0.0,5.0,2.5,43.84170000000001,0.04228700963342663
41,heavy_trucks,5.0,10.0,7.5,79.27600000000027,0.07646475788346574
42,heavy_trucks,10.0,15.0,12.5,126.14739999999966,0.12167402995394128
43,heavy_trucks,15.0,20.0,17.5,75.47689999999918,0.07280037948804775
44,heavy_trucks,20.0,25.0,22.5,78.32729999999856,0.07554970016354831
45,heavy_trucks,25.0,30.0,27.5,91.33819999999793,0.08809921474987877
46,heavy_trucks,30.0,35.0,32.5,91.54669999999544,0.08830032103700869
47,heavy_trucks,35.0,40.0,37.5,96.44809999999563,0.09302791027322183
48,heavy_trucks,40.0,45.0,42.5,152.6541999999955,0.14724086032208705
49,heavy_trucks,45.0,50.0,47.5,64.7853999999968,0.06248801560854761
50,heavy_trucks,50.0,55.0,52.5,47.14299999999673,0.04547124073994606
51,heavy_trucks,55.0,60.0,57.5,29.52299999999775,0.028476071534807253
52,heavy_trucks,60.0,65.0,62.5,17.402099999998086,0.01678499625566008
53,heavy_trucks,65.0,70.0,67.5,15.281999999998334,0.014740078081323379
54,heavy_trucks,70.0,75.0,72.5,10.970499999998992,0.010581470134220712
55,heavy_trucks,75.0,80.0,77.5,8.030799999999203,0.007746016166437178
56,heavy_trucks,80.0,85.0,82.5,5.771399999998039,0.0055667377724466765
57,heavy_trucks,85.0,90.0,87.5,0.7499999999997726,0.0007234039105477285
58,heavy_trucks,90.0,95.0,92.5,1.9004999999992833,0.0018331055093278087
59,heavy_trucks,95.0,100.0,97.5,0.14999999999986358,0.00014468078210945798
