COUNTY_NAME,COUNTY,HH_WORKERS,CORRECTION,,,,,
San Francisco,1,hh_wrks_0,0.72439,,,,,
San Mateo,2,hh_wrks_0,0.71045,,,,,
Santa Clara,3,hh_wrks_0,0.65234,,,,,
Alameda,4,hh_wrks_0,0.61093,,,,,
Contra Costa,5,hh_wrks_0,0.81432,,,,,
Solano,6,hh_wrks_0,0.79221,,,,,
Napa,7,hh_wrks_0,0.71026,,,,,
Sonoma,8,hh_wrks_0,0.81646,,,,,
Marin,9,hh_wrks_0,0.81952,,,,,
San Francisco,1,hh_wrks_1,1.05499,,,,,
San Mateo,2,hh_wrks_1,1.01626,,,,,
Santa Clara,3,hh_wrks_1,1.04675,,,,,
Alameda,4,hh_wrks_1,1.06364,,,,,
Contra Costa,5,hh_wrks_1,1.02079,,,,,
Solano,6,hh_wrks_1,1.03487,,,,,
Napa,7,hh_wrks_1,1.06679,,,,,
Sonoma,8,hh_wrks_1,1.04652,,,,,
Marin,9,hh_wrks_1,1.04665,,,,,
San Francisco,1,hh_wrks_2,1.07740,,,,,
San Mateo,2,hh_wrks_2,1.08066,,,,,
Santa Clara,3,hh_wrks_2,1.08075,,,,,
Alameda,4,hh_wrks_2,1.15069,,,,,
Contra Costa,5,hh_wrks_2,1.07611,,,,,
Solano,6,hh_wrks_2,1.10324,,,,,
Napa,7,hh_wrks_2,1.08483,,,,,
Sonoma,8,hh_wrks_2,1.06913,,,,,
Marin,9,hh_wrks_2,1.06500,,,,,
San Francisco,1,hh_wrks_3_plus,1.21757,,,,,
San Mateo,2,hh_wrks_3_plus,1.21119,,,,,
Santa Clara,3,hh_wrks_3_plus,1.20479,,,,,
Alameda,4,hh_wrks_3_plus,1.34201,,,,,
Contra Costa,5,hh_wrks_3_plus,1.15367,,,,,
Solano,6,hh_wrks_3_plus,1.11889,,,,,
Napa,7,hh_wrks_3_plus,1.26523,,,,,
Sonoma,8,hh_wrks_3_plus,1.15975,,,,,
Marin,9,hh_wrks_3_plus,1.18261,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
